"assembly_barcode","source_type","species","ST"
"ESC_GC1967AA_AS","Human","Escherichia coli",10
"ESC_HA0296AA_AS","Human","Escherichia coli",10
"ESC_HA0770AA_AS","Human","Escherichia coli",10
"ESC_IA0803AA_AS","Human","Escherichia coli",10
"ESC_IA0802AA_AS","Human","Escherichia coli",10
"ESC_IA0798AA_AS","Human","Escherichia coli",10
"ESC_IA0790AA_AS","Human","Escherichia coli",10
"ESC_IA0776AA_AS","Human","Escherichia coli",10
"ESC_IA0773AA_AS","Human","Escherichia coli",10
"ESC_KA6959AA_AS","Water/River","Escherichia coli",10
"ESC_KA6970AA_AS","Water/River","Escherichia coli",10
"ESC_KA6973AA_AS","Water/River","Escherichia coli",10
"ESC_KA6974AA_AS","Water/River","Escherichia coli",10
"ESC_KA6976AA_AS","Water/River","Escherichia coli",10
"ESC_KA6984AA_AS","Water/River","Escherichia coli",10
"ESC_KC1949AA_AS","Human","Escherichia coli",10
"ESC_PA1108AA_AS","Human","Escherichia coli",10
"ESC_SA6470AA_AS","Swine","Escherichia coli",10
"ESC_SA6471AA_AS","Swine","Escherichia coli",10
"ESC_SA6472AA_AS","Swine","Escherichia coli",10
"ESC_SA6474AA_AS","Swine","Escherichia coli",10
"ESC_SA6476AA_AS","Swine","Escherichia coli",10
"ESC_SA6478AA_AS","Swine","Escherichia coli",10
"ESC_SA6481AA_AS","Swine","Escherichia coli",10
"ESC_SA6485AA_AS","Swine","Escherichia coli",10
"ESC_SA6486AA_AS","Swine","Escherichia coli",10
"ESC_SA6488AA_AS","Swine","Escherichia coli",10
"ESC_SA9047AA_AS","Swine","Escherichia coli",10
"ESC_SA9046AA_AS","Swine","Escherichia coli",10
"ESC_SA9043AA_AS","Swine","Escherichia coli",10
"ESC_SA9042AA_AS","Swine","Escherichia coli",10
"ESC_SA9041AA_AS","Swine","Escherichia coli",10
"ESC_SA9040AA_AS","Swine","Escherichia coli",10
"ESC_SA9038AA_AS","Swine","Escherichia coli",10
"ESC_SA9036AA_AS","Swine","Escherichia coli",10
"ESC_SA9033AA_AS","Swine","Escherichia coli",10
"ESC_SA9031AA_AS","Swine","Escherichia coli",10
"ESC_SA8297AA_AS","Poultry","Escherichia coli",10
"ESC_SA8265AA_AS","Poultry","Escherichia coli",10
"ESC_TA7301AA_AS","Human","Escherichia coli",10
"ESC_WA5547AA_AS","Human","Escherichia coli",10
"ESC_WA5514AA_AS","Human","Escherichia coli",10
"ESC_CB7241AA_AS","Human","Escherichia coli",10
"ESC_CB7226AA_AS","Human","Escherichia coli",10
"ESC_CB7183AA_AS","Human","Escherichia coli",10
"ESC_FB3700AA_AS","Human","Escherichia coli",10
"ESC_FB3691AA_AS","Human","Escherichia coli",10
"ESC_FB3660AA_AS","Human","Escherichia coli",10
"ESC_FB3649AA_AS","Human","Escherichia coli",10
