"assembly_barcode","source_type","species","ST"
"ESC_IC0525AA_AS","Bovine","Escherichia coli",11
"ESC_LB2249AA_AS","Swine","Escherichia coli",11
"ESC_LB2257AA_AS","Human","Escherichia coli",11
"ESC_LB2252AA_AS","Bovine","Escherichia coli",11
"ESC_LB2250AA_AS","Bovine","Escherichia coli",11
"ESC_LB2256AA_AS","Human","Escherichia coli",11
"ESC_LB2253AA_AS","Bovine","Escherichia coli",11
"ESC_LB2254AA_AS","Bovine","Escherichia coli",11
"ESC_LB2248AA_AS","Water/River","Escherichia coli",11
"ESC_GB6373AA_AS","Bovine","Escherichia coli",11
"ESC_GB6372AA_AS","Bovine","Escherichia coli",11
"ESC_GB6371AA_AS","Human","Escherichia coli",11
"ESC_GB6369AA_AS","Bovine","Escherichia coli",11
"ESC_GB6368AA_AS","Bovine","Escherichia coli",11
"ESC_GB6367AA_AS","Human","Escherichia coli",11
"ESC_GB6366AA_AS","Bovine","Escherichia coli",11
"ESC_GB6365AA_AS","Human","Escherichia coli",11
"ESC_GB6364AA_AS","Human","Escherichia coli",11
"ESC_GB6363AA_AS","Human","Escherichia coli",11
"ESC_GB6362AA_AS","Human","Escherichia coli",11
"ESC_GB6361AA_AS","Bovine","Escherichia coli",11
"ESC_GB6360AA_AS","Human","Escherichia coli",11
"ESC_GB6359AA_AS","Bovine","Escherichia coli",11
"ESC_GB6358AA_AS","Bovine","Escherichia coli",11
"ESC_GB6357AA_AS","Human","Escherichia coli",11
"ESC_GB6356AA_AS","Human","Escherichia coli",11
"ESC_GB6355AA_AS","Human","Escherichia coli",11
"ESC_GB6354AA_AS","Human","Escherichia coli",11
"ESC_GB6353AA_AS","Human","Escherichia coli",11
"ESC_GB6352AA_AS","Bovine","Escherichia coli",11
"ESC_GB6351AA_AS","Human","Escherichia coli",11
"ESC_GB6350AA_AS","Bovine","Escherichia coli",11
"ESC_GB6349AA_AS","Human","Escherichia coli",11
"ESC_GB6348AA_AS","Bovine","Escherichia coli",11
"ESC_GB6347AA_AS","Human","Escherichia coli",11
"ESC_GB6346AA_AS","Bovine","Escherichia coli",11
"ESC_GB6345AA_AS","Bovine","Escherichia coli",11
"ESC_GB6344AA_AS","Human","Escherichia coli",11
"ESC_GB6343AA_AS","Bovine","Escherichia coli",11
"ESC_GB6342AA_AS","Bovine","Escherichia coli",11
"ESC_GB6341AA_AS","Human","Escherichia coli",11
"ESC_GB6340AA_AS","Bovine","Escherichia coli",11
"ESC_GB6339AA_AS","Bovine","Escherichia coli",11
