"assembly_barcode","source_type","species","ST"
"ESC_BA8492AA_AS","Human","Escherichia coli",131
"ESC_BA9092AA_AS","Human","Escherichia coli",131
"ESC_CA6110AA_AS","Human","Escherichia coli",131
"ESC_BA5167AA_AS","Human","Escherichia coli",131
"ESC_CA1010AA_AS","Human","Escherichia coli",131
"ESC_BA1854AA_AS","Human","Escherichia coli",131
"ESC_CA6731AA_AS","Human","Escherichia coli",131
"ESC_BA4435AA_AS","Human","Escherichia coli",131
"ESC_AA7744AA_AS","Human","Escherichia coli",131
"ESC_DC8790AA_AS","Poultry","Escherichia coli",131
"ESC_DC9352AA_AS","Poultry","Escherichia coli",131
"ESC_DC9840AA_AS","Poultry","Escherichia coli",131
"ESC_EC0937AA_AS","Human","Escherichia coli",131
"ESC_EC1036AA_AS","Canine","Escherichia coli",131
"ESC_EC1050AA_AS","Canine","Escherichia coli",131
"ESC_EC1053AA_AS","Canine","Escherichia coli",131
"ESC_EC1057AA_AS","Canine","Escherichia coli",131
"ESC_EC1060AA_AS","Canine","Escherichia coli",131
"ESC_EC1061AA_AS","Canine","Escherichia coli",131
"ESC_EC1065AA_AS","Canine","Escherichia coli",131
"ESC_EC1068AA_AS","Canine","Escherichia coli",131
"ESC_EC1072AA_AS","Canine","Escherichia coli",131
"ESC_EC1082AA_AS","Canine","Escherichia coli",131
"ESC_EC1084AA_AS","Canine","Escherichia coli",131
"ESC_EC1087AA_AS","Canine","Escherichia coli",131
"ESC_EC1088AA_AS","Human","Escherichia coli",131
"ESC_EC1954AA_AS","Human","Escherichia coli",131
"ESC_EC1955AA_AS","Human","Escherichia coli",131
"ESC_EC1977AA_AS","Human","Escherichia coli",131
"ESC_EC1978AA_AS","Human","Escherichia coli",131
"ESC_EC1979AA_AS","Human","Escherichia coli",131
"ESC_EC3240AA_AS","Human","Escherichia coli",131
"ESC_EC3290AA_AS","Human","Escherichia coli",131
"ESC_EC3760AA_AS","Human","Escherichia coli",131
"ESC_FC1879AA_AS","Human","Escherichia coli",131
"ESC_EC3763AA_AS","Human","Escherichia coli",131
"ESC_EC3764AA_AS","Human","Escherichia coli",131
"ESC_FC4337AA_AS","Human","Escherichia coli",131
"ESC_FC4339AA_AS","Human","Escherichia coli",131
"ESC_FC4394AA_AS","Human","Escherichia coli",131
"ESC_EC5322AA_AS","Poultry","Escherichia coli",131
"ESC_EC6861AA_AS","Poultry","Escherichia coli",131
"ESC_EC6866AA_AS","Poultry","Escherichia coli",131
"ESC_EC7804AA_AS","Human","Escherichia coli",131
"ESC_FC5536AA_AS","Human","Escherichia coli",131
"ESC_FC1970AA_AS","Human","Escherichia coli",131
"ESC_FC1971AA_AS","Human","Escherichia coli",131
"ESC_EC8471AA_AS","Human","Escherichia coli",131
"ESC_CA0302AA_AS","Human","Escherichia coli",131
"ESC_CA2639AA_AS","Human","Escherichia coli",131
"ESC_CA4896AA_AS","Human","Escherichia coli",131
"ESC_CA1800AA_AS","Human","Escherichia coli",131
"ESC_CA2881AA_AS","Human","Escherichia coli",131
"ESC_CA3847AA_AS","Human","Escherichia coli",131
"ESC_CA4380AA_AS","Human","Escherichia coli",131
"ESC_CA3625AA_AS","Human","Escherichia coli",131
"ESC_CA1535AA_AS","Human","Escherichia coli",131
"ESC_CA6379AA_AS","Human","Escherichia coli",131
"ESC_BA6240AA_AS","Human","Escherichia coli",131
"ESC_BA4778AA_AS","Human","Escherichia coli",131
"ESC_BA3475AA_AS","Human","Escherichia coli",131
"ESC_AA9340AA_AS","Human","Escherichia coli",131
"ESC_CA0273AA_AS","Human","Escherichia coli",131
"ESC_BA6961AA_AS","Human","Escherichia coli",131
"ESC_BA6398AA_AS","Human","Escherichia coli",131
"ESC_BA4414AA_AS","Human","Escherichia coli",131
"ESC_CA1876AA_AS","Human","Escherichia coli",131
"ESC_BA3625AA_AS","Human","Escherichia coli",131
"ESC_BA4452AA_AS","Human","Escherichia coli",131
"ESC_CA1843AA_AS","Human","Escherichia coli",131
"ESC_CA4124AA_AS","Human","Escherichia coli",131
"ESC_CA6192AA_AS","Human","Escherichia coli",131
"ESC_CA6140AA_AS","Human","Escherichia coli",131
"ESC_AA9814AA_AS","Human","Escherichia coli",131
"ESC_BA0551AA_AS","Human","Escherichia coli",131
"ESC_BA4441AA_AS","Human","Escherichia coli",131
"ESC_BA8901AA_AS","Human","Escherichia coli",131
"ESC_CA4502AA_AS","Human","Escherichia coli",131
"ESC_CA2386AA_AS","Human","Escherichia coli",131
"ESC_BA2803AA_AS","Human","Escherichia coli",131
"ESC_BA1598AA_AS","Human","Escherichia coli",131
"ESC_CA6573AA_AS","Human","Escherichia coli",131
"ESC_AA9690AA_AS","Human","Escherichia coli",131
"ESC_BA8458AA_AS","Human","Escherichia coli",131
"ESC_BA6165AA_AS","Human","Escherichia coli",131
"ESC_CA3442AA_AS","Human","Escherichia coli",131
"ESC_CA3836AA_AS","Human","Escherichia coli",131
"ESC_BA9967AA_AS","Human","Escherichia coli",131
"ESC_AA8258AA_AS","Human","Escherichia coli",131
"ESC_BA2812AA_AS","Human","Escherichia coli",131
"ESC_AA8306AA_AS","Human","Escherichia coli",131
"ESC_CA1741AA_AS","Human","Escherichia coli",131
"ESC_EA6185AA_AS","Human","Escherichia coli",131
"ESC_CA2053AA_AS","Human","Escherichia coli",131
"ESC_CA5848AA_AS","Human","Escherichia coli",131
"ESC_BA6701AA_AS","Human","Escherichia coli",131
"ESC_BA4216AA_AS","Human","Escherichia coli",131
"ESC_BA4427AA_AS","Human","Escherichia coli",131
"ESC_BA5514AA_AS","Human","Escherichia coli",131
"ESC_CA3564AA_AS","Human","Escherichia coli",131
"ESC_BA4065AA_AS","Human","Escherichia coli",131
"ESC_CA2563AA_AS","Human","Escherichia coli",131
"ESC_CA3515AA_AS","Human","Escherichia coli",131
"ESC_CA0953AA_AS","Human","Escherichia coli",131
"ESC_BA3487AA_AS","Human","Escherichia coli",131
"ESC_CA3590AA_AS","Human","Escherichia coli",131
"ESC_CA3489AA_AS","Human","Escherichia coli",131
"ESC_BA2958AA_AS","Human","Escherichia coli",131
"ESC_BA5217AA_AS","Human","Escherichia coli",131
"ESC_BA4335AA_AS","Human","Escherichia coli",131
"ESC_CA2242AA_AS","Human","Escherichia coli",131
"ESC_BA8586AA_AS","Human","Escherichia coli",131
"ESC_BA2569AA_AS","Human","Escherichia coli",131
"ESC_BA3618AA_AS","Human","Escherichia coli",131
"ESC_BA9253AA_AS","Human","Escherichia coli",131
"ESC_AA8604AA_AS","Human","Escherichia coli",131
"ESC_AA9595AA_AS","Human","Escherichia coli",131
"ESC_CA3060AA_AS","Human","Escherichia coli",131
"ESC_BA2600AA_AS","Human","Escherichia coli",131
"ESC_BA2345AA_AS","Human","Escherichia coli",131
"ESC_BA0379AA_AS","Human","Escherichia coli",131
"ESC_BA5015AA_AS","Human","Escherichia coli",131
"ESC_BA2996AA_AS","Human","Escherichia coli",131
"ESC_BA6942AA_AS","Human","Escherichia coli",131
"ESC_BA2774AA_AS","Human","Escherichia coli",131
"ESC_CA2158AA_AS","Human","Escherichia coli",131
"ESC_BA0867AA_AS","Human","Escherichia coli",131
"ESC_CA6313AA_AS","Human","Escherichia coli",131
"ESC_CA2715AA_AS","Human","Escherichia coli",131
"ESC_CA5893AA_AS","Human","Escherichia coli",131
"ESC_CA2816AA_AS","Human","Escherichia coli",131
"ESC_CA6363AA_AS","Human","Escherichia coli",131
"ESC_FA7278AA_AS","Human","Escherichia coli",131
"ESC_CA2785AA_AS","Human","Escherichia coli",131
"ESC_CA6176AA_AS","Human","Escherichia coli",131
"ESC_CA3870AA_AS","Human","Escherichia coli",131
"ESC_CA6211AA_AS","Human","Escherichia coli",131
"ESC_CA6629AA_AS","Human","Escherichia coli",131
"ESC_CA5460AA_AS","Human","Escherichia coli",131
"ESC_FA7185AA_AS","Human","Escherichia coli",131
"ESC_FA7211AA_AS","Human","Escherichia coli",131
"ESC_FC1150AA_AS","Poultry","Escherichia coli",131
"ESC_FC1153AA_AS","Poultry","Escherichia coli",131
"ESC_FC1457AA_AS","Human","Escherichia coli",131
"ESC_FC1707AA_AS","Poultry","Escherichia coli",131
"ESC_FC1565AA_AS","Human","Escherichia coli",131
"ESC_FC1566AA_AS","Human","Escherichia coli",131
"ESC_FC1567AA_AS","Human","Escherichia coli",131
"ESC_FC1568AA_AS","Human","Escherichia coli",131
"ESC_FC1569AA_AS","Human","Escherichia coli",131
"ESC_FC1582AA_AS","Human","Escherichia coli",131
"ESC_FC1881AA_AS","Human","Escherichia coli",131
"ESC_FC1882AA_AS","Human","Escherichia coli",131
"ESC_FC1883AA_AS","Human","Escherichia coli",131
"ESC_FC1884AA_AS","Human","Escherichia coli",131
"ESC_FC1885AA_AS","Human","Escherichia coli",131
"ESC_FC1886AA_AS","Human","Escherichia coli",131
"ESC_FC1887AA_AS","Human","Escherichia coli",131
"ESC_FC1888AA_AS","Human","Escherichia coli",131
"ESC_FC1889AA_AS","Human","Escherichia coli",131
"ESC_FC1890AA_AS","Human","Escherichia coli",131
"ESC_FC1891AA_AS","Human","Escherichia coli",131
"ESC_FC1892AA_AS","Human","Escherichia coli",131
"ESC_FC1893AA_AS","Human","Escherichia coli",131
"ESC_FC1895AA_AS","Human","Escherichia coli",131
"ESC_FC1896AA_AS","Human","Escherichia coli",131
"ESC_FC1897AA_AS","Human","Escherichia coli",131
"ESC_FC1898AA_AS","Human","Escherichia coli",131
"ESC_FC1899AA_AS","Human","Escherichia coli",131
"ESC_FC1900AA_AS","Human","Escherichia coli",131
"ESC_FC1902AA_AS","Human","Escherichia coli",131
"ESC_FC1903AA_AS","Human","Escherichia coli",131
"ESC_FC1904AA_AS","Human","Escherichia coli",131
"ESC_FC1905AA_AS","Human","Escherichia coli",131
"ESC_FC1906AA_AS","Human","Escherichia coli",131
"ESC_FC1907AA_AS","Human","Escherichia coli",131
"ESC_FC1908AA_AS","Human","Escherichia coli",131
"ESC_FC1909AA_AS","Human","Escherichia coli",131
"ESC_FC1910AA_AS","Human","Escherichia coli",131
"ESC_FC1911AA_AS","Human","Escherichia coli",131
"ESC_FC1912AA_AS","Human","Escherichia coli",131
"ESC_FC1913AA_AS","Human","Escherichia coli",131
"ESC_FC1914AA_AS","Human","Escherichia coli",131
"ESC_FC1915AA_AS","Human","Escherichia coli",131
"ESC_FC3058AA_AS","Canine","Escherichia coli",131
"ESC_FC3059AA_AS","Human","Escherichia coli",131
"ESC_FC3060AA_AS","Human","Escherichia coli",131
"ESC_FC3061AA_AS","Human","Escherichia coli",131
"ESC_FC3062AA_AS","Human","Escherichia coli",131
"ESC_FC3063AA_AS","Human","Escherichia coli",131
