Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode
ESC_LA6333AA	DV42a	SRR6225499;ILLUMINA;Paired;;SRX3334105;SRA	Wild Animal	Deer (Cervidae)	Cervus elaphus; Recto-anal Mucosal Swab (RAMS)	2014	5	19		Oceania	New Zealand	Manawatu-Wanganui				-39.7273	175.4376	mEpilab, Massey University	Escherichia coli								PRJNA415994	SRP121796		SAMN07839708	SRS2636525	2019-02-11	2018-03-09	ESC_LA6333AA	Assembled	126	168962	5335488	Escherichia coli / Shigella;98.29%	347	46686	4	ESC_WA2349AA_AS
ESC_PA0958AA	ERL04-3476	SRR7971252;PACBIO_SMRT;Single;;SRX4804287;SRA,GCF_008931135;Complete Genome;;;;Complete Genome,SRR7971245;PACBIO_SMRT;Single;;SRX4804294;SRA,SRR8114768;PACBIO_SMRT;Single;;SRX4941065;SRA	Livestock	Swine	Pork					Oceania	New Zealand							United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA494713	SRP163896		SAMN10177961	SRS3883049	2019-11-18	2019-11-01	ESC_PA0958AA	Assembled	1	5573120	5727332		3	0	NaN	ESC_LB2249AA_AS
ESC_PA0959AA	NZRM4169	GCF_008925965;Complete Genome;;;;Complete Genome,SRR7971241;PACBIO_SMRT;Single;;SRX4804298;SRA,SRR7971242;PACBIO_SMRT;Single;;SRX4804297;SRA	Human	Human	Homo sapiens	2003				Oceania	New Zealand							United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA494713	SRP163896		SAMN10177969	SRS3883053	2019-11-18	2019-10-04	ESC_PA0959AA	Assembled	1	5503501	5596785		2	0	NaN	ESC_LB2257AA_AS
ESC_PA0960AA	ERL05-1306	SRR7971248;PACBIO_SMRT;Single;;SRX4804291;SRA,SRR7971243;PACBIO_SMRT;Single;;SRX4804296;SRA,GCF_008926185;Complete Genome;;;;Complete Genome	Livestock	Ovine/Goat (Caprinae)	Diced lamb					Oceania	New Zealand							United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA494713	SRP163896		SAMN10177963	SRS3883051	2019-11-18	2019-10-04	ESC_PA0960AA	Assembled	1	5553457	5644710		2	0	NaN	ESC_LB2251AA_AS
ESC_PA0961AA	ERL06-2442	GCF_008926165;Complete Genome;;;;Complete Genome,SRR7971255;PACBIO_SMRT;Single;;SRX4804284;SRA,SRR7971244;PACBIO_SMRT;Single;;SRX4804295;SRA	Livestock	Bovine	Bovine (bobby calf, fecal)					Oceania	New Zealand							United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA494713	SRP163896		SAMN10177964	SRS3883047	2019-11-18	2019-10-04	ESC_PA0961AA	Assembled	1	5519220	5610215		2	0	NaN	ESC_LB2252AA_AS
ESC_PA0962AA	ERL05-0623	SRR7971247;PACBIO_SMRT;Single;;SRX4804292;SRA,SRR7971246;PACBIO_SMRT;Single;;SRX4804293;SRA,GCF_008926305;Complete Genome;;;;Complete Genome	Livestock	Bovine	Bobby veal steak					Oceania	New Zealand							United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA494713	SRP163896		SAMN10177962	SRS3883052	2019-11-18	2019-10-04	ESC_PA0962AA	Assembled	1	5390258	5486349		3	0	NaN	ESC_LB2250AA_AS
ESC_PA0963AA	NZRM4165	SRR7971254;PACBIO_SMRT;Single;;SRX4804285;SRA,GCF_008926085;Complete Genome;;;;Complete Genome,SRR7971253;PACBIO_SMRT;Single;;SRX4804286;SRA	Human	Human	Homo sapiens	2003				Oceania	New Zealand							United State Department of Agriculture	Escherichia coli		O157:Hnm						PRJNA494713	SRP163896		SAMN10177968	SRS3883048	2019-11-18	2019-10-04	ESC_PA0963AA	Assembled	1	5414190	5504500		2	0	NaN	ESC_LB2256AA_AS
ESC_PA0964AA	ERL06-2497	GCF_008926145;Complete Genome;;;;Complete Genome,SRR7971256;PACBIO_SMRT;Single;;SRX4804283;SRA,SRR7971257;PACBIO_SMRT;Single;;SRX4804282;SRA,SRR7971258;PACBIO_SMRT;Single;;SRX4804281;SRA	Livestock	Bovine	bovine					Oceania	New Zealand							United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA494713	SRP163896		SAMN10177965	SRS3883046	2019-11-18	2019-10-04	ESC_PA0964AA	Assembled	1	5504769	5663907		4	0	NaN	ESC_LB2253AA_AS
ESC_PA0965AA	ERL06-2503	SRR7971259;PACBIO_SMRT;Single;;SRX4804280;SRA,SRR7971260;PACBIO_SMRT;Single;;SRX4804279;SRA,GCF_008926125;Complete Genome;;;;Complete Genome	Livestock	Bovine	Bovine (bobby calf, fecal)					Oceania	New Zealand							United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA494713	SRP163896		SAMN10177966	SRS3883045	2019-11-18	2019-10-04	ESC_PA0965AA	Assembled	1	5547257	5638235		2	0	NaN	ESC_LB2254AA_AS
ESC_PA0973AA	ERL03-1416	GCF_008931185;Complete Genome;;;;Complete Genome,SRR7971251;PACBIO_SMRT;Single;;SRX4804288;SRA,SRR7971250;PACBIO_SMRT;Single;;SRX4804289;SRA,SRR7971249;PACBIO_SMRT;Single;;SRX4804290;SRA	Environment	Water/River	water					Oceania	New Zealand							United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA494713	SRP163896		SAMN10177960	SRS3883050	2019-11-18	2019-10-04	ESC_PA0973AA	Assembled	1	5427778	5581536		3	0	NaN	ESC_LB2248AA_AS
ESC_PA1640AA	ERL05599	SRR7644810;ILLUMINA;Paired;;SRX4508199;SRA	Livestock	Bovine	Bos taurus; bovine	2005				Oceania	New Zealand	Waikato	South Waikato District			-40.388	175.617	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765897	SRS3628128	2019-11-18	2019-08-01	ESC_PA1640AA	Assembled	193	178502	5422883	Escherichia coli / Shigella;99.24%	245	90832	4.1	ESC_GB6373AA_AS
ESC_PA1641AA	ERL05623	SRR7644811;ILLUMINA;Paired;;SRX4508198;SRA	Livestock	Bovine	Bos taurus; bovine	2005				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765898	SRS3628127	2019-11-18	2019-08-01	ESC_PA1641AA	Assembled	144	160592	5351296	Escherichia coli / Shigella;99.17%	220	39180	4.1	ESC_GB6372AA_AS
ESC_PA1642AA	ERL053299	SRR7644812;ILLUMINA;Paired;;SRX4508197;SRA	Human	Human	Homo sapiens; human	2005				Oceania	New Zealand	Canterbury	Ashburton District			-43.53	172.616	AgResearch Limited	Escherichia coli		O157:H7						PRJNA483087	SRP156353		SAMN09765895	SRS3628131	2019-11-18	2019-08-01	ESC_PA1642AA	Assembled	193	184545	5406252	Escherichia coli / Shigella;100.0%	239	36843	4.1	ESC_GB6371AA_AS
