"Uberstrain","ST_Country","N_human_e.coli_shigella","N_bovine_e.coli_shigella","N_swine_e.coli_shigella","N_poultry_e.coli_shigella","N_dog_e.coli_shigella","N_water_e.coli_shigella","Name.x","Barcode.x","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).x","Source Niche.x","source_type","Source Details.x","Collection Year.x","Collection Month.x","Collection Day.x","Collection Time.x","Continent.x","Country.x","Region.x","District.x","City.x","Post Code.x","Latitude.x","Longitude.x","Lab Contact.x","Species.x","Serological Group.x","Serotype.x","EcoR Cluster.x","Path/Nonpath.x","Simple Patho.x","Comment.x","Simple Disease.x","Bio Project ID.x","Project ID.x","Disease.x","Sample ID.x","Secondary Sample ID.x","Date Entered.x","Release Date.x","Differences","ST","ST Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA","is_common_ST","is_common_country","is_bovine","is_swine","is_poultry","is_human","is_human2","is_dog","is_water","is_concerned_host","Name.y","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).y","Source Niche.y","Source Type.y","Source Details.y","Collection Year.y","Collection Month.y","Collection Day.y","Collection Time.y","Continent.y","Country.y","Region.y","District.y","City.y","Post Code.y","Latitude.y","Longitude.y","Lab Contact.y","Species.y","Serological Group.y","Serotype.y","EcoR Cluster.y","Path/Nonpath.y","Simple Patho.y","Simple Disease.y","Comment.y","Bio Project ID.y","Project ID.y","Disease.y","Sample ID.y","Secondary Sample ID.y","Date Entered.y","Release Date.y","Barcode.y","Status","Coverage","N50","Length","Contig Number(>=200 bp)","Low Quality Bases","Assembly barcode","Version"
"ESC_LA4582AA","32_United States",58,203,9,0,0,7,"O145:H28","ESC_LA4582AA","SRR6891457;ILLUMINA;Paired;;SRX3841856;SRA","Livestock","Bovine","bovine feces",2013,6,23,"","North America","United States","","","","",NA,NA,"University of Maryland","Escherichia coli","","","","","","","","PRJNA445506","SRP136372","","SAMN08792971","SRS3088010",2019-02-11,2018-08-31,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","O145:H28","SRR6891457;ILLUMINA;Paired;;SRX3841856;SRA","Livestock","Bovine","bovine feces",2013,6,23,NA,"North America","United States","","","",NA,NA,NA,"University of Maryland","Escherichia coli","","",NA,"","",NA,"","PRJNA445506","SRP136372",NA,"SAMN08792971","SRS3088010",2019-02-11,2018-08-31,"ESC_LA4582AA","Assembled",103,83453,5249460,351,79230,"ESC_WA6181AA_AS",4
"ESC_IA8876AA","32_United States",58,203,9,0,0,7,"MU5-4-1","ESC_IA8876AA","SRR7186371;ILLUMINA;Paired;500;SRX4103142;SRA","Livestock","Bovine","environmental| dairy; cow paddock straw bedding bovine dairy",2017,9,18,"","North America","United States","Wisconsin","","","",NA,NA,"FDA Center for Food Safety and Applied Nutrition","Escherichia coli","","","","","","","","PRJNA368991","SRP101451","","SAMN08963862","SRS3319241",2018-05-20,2018-05-19,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","MU5-4-1","SRR7186371;ILLUMINA;Paired;500;SRX4103142;SRA","Livestock","Bovine","environmental| dairy; cow paddock straw bedding bovine dairy",2017,9,18,NA,"North America","United States","Wisconsin","","",NA,NA,NA,"FDA Center for Food Safety and Applied Nutrition","Escherichia coli","","",NA,"","",NA,"","PRJNA368991","SRP101451",NA,"SAMN08963862","SRS3319241",2018-05-20,2018-05-19,"ESC_IA8876AA","Assembled",81,108100,5485848,387,94650,"ESC_SA2013AA_AS",4
"ESC_CA5253AA","32_United States",58,203,9,0,0,7,"FSIS1505314","ESC_CA5253AA","SRR3106214;ILLUMINA;Paired;500;SRX1534642;SRA","Livestock","Bovine","animal-cattle-beef cow",2015,NA,NA,"","North America","United States","Texas","","","",NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","O145","","","","","","PRJNA268206","SRP050539","","SAMN04421068","SRS1251654",2016-01-19,2016-01-19,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","FSIS1505314","SRR3106214;ILLUMINA;Paired;500;SRX1534642;SRA","Livestock","Bovine","animal-cattle-beef cow",2015,NA,NA,NA,"North America","United States","Texas","","",NA,NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","O145",NA,"","",NA,"","PRJNA268206","SRP050539",NA,"SAMN04421068","SRS1251654",2016-01-19,2016-01-19,"ESC_CA5253AA","Assembled",111,163539,5366119,260,10722,"ESC_FA9846AA_AS",3.32
"ESC_EB4510AA","32_United States",58,203,9,0,0,7,"22.0564","ESC_EB4510AA","SRR24142812;ILLUMINA;Paired;;SRX19941236;SRA","Livestock","Bovine","Cattle feces",2021,5,25,"","North America","United States","California","","","",NA,NA,"Virginia Division of Consolidated Laboratory Services Sequencing Submission Group","Escherichia coli","","","","","","","","PRJNA357722","SRP101500","","SAMN34155690","SRS17289774",2023-04-13,2023-04-12,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","22.0564","SRR24142812;ILLUMINA;Paired;;SRX19941236;SRA","Livestock","Bovine","Cattle feces",2021,5,25,NA,"North America","United States","California","","",NA,NA,NA,"Virginia Division of Consolidated Laboratory Services Sequencing Submission Group","Escherichia coli","","",NA,"","",NA,"","PRJNA357722","SRP101500",NA,"SAMN34155690","SRS17289774",2023-04-13,2023-04-12,"ESC_EB4510AA","Assembled",104.2,140035,5351658,286,2912,"ESC_IC8063AA_AS",5.1
"ESC_VA8259AA","32_United States",58,203,9,0,0,7,"PSU-4616","ESC_VA8259AA","SRR14994806;ILLUMINA;Paired;;SRX11307253;SRA","Livestock","Bovine","cow; cow bovine",2017,NA,NA,"","North America","United States","Nebraska","","","",NA,NA,"PulseNet Next Generation Subtyping Methods Unit","Escherichia coli","","O145:H28","","","","","","PRJNA357722","SRP101500","","SAMN19949787","SRS9335626",2021-07-01,2021-06-30,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","PSU-4616","SRR14994806;ILLUMINA;Paired;;SRX11307253;SRA","Livestock","Bovine","cow; cow bovine",2017,NA,NA,NA,"North America","United States","Nebraska","","",NA,NA,NA,"PulseNet Next Generation Subtyping Methods Unit","Escherichia coli","","O145:H28",NA,"","",NA,"","PRJNA357722","SRP101500",NA,"SAMN19949787","SRS9335626",2021-07-01,2021-06-30,"ESC_VA8259AA","Assembled",72,99232,5219466,255,34677,"ESC_XB5599AA_AS",4.1
"ESC_DA2410AA","32_United Kingdom",368,1,0,0,0,0,"130322","ESC_DA2410AA","SRR3579383;ILLUMINA;Paired;;SRX1796216;SRA","Human","Human","Homo sapiens; human",2015,7,NA,"","Europe","United Kingdom","","","","",NA,NA,"Public Health England","Escherichia coli","","O145","","","","","","PRJNA315192","SRP071789","","SAMN05171053","SRS1464449",2016-05-26,2016-05-25,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","130322","SRR3579383;ILLUMINA;Paired;;SRX1796216;SRA","Human","Human","Homo sapiens; human",2015,7,NA,NA,"Europe","United Kingdom","","","",NA,NA,NA,"Public Health England","Escherichia coli","","O145",NA,"","",NA,"","PRJNA315192","SRP071789",NA,"SAMN05171053","SRS1464449",2016-05-26,2016-05-25,"ESC_DA2410AA","Assembled",68,130441,5313620,316,7588,"ESC_GA9439AA_AS",3.41
"ESC_XA4919AA","32_United Kingdom",368,1,0,0,0,0,"1521481","ESC_XA4919AA","SRR16892815;ILLUMINA;Paired;;SRX13085512;SRA","Human","Human","Homo sapiens; human",2021,10,NA,"","Europe","United Kingdom","","","","",NA,NA,"Public Health England","Escherichia coli","","Escherichia","","","","","","PRJNA315192","SRP071789","","SAMN23010653","SRS11022371",2021-11-10,2021-11-10,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","1521481","SRR16892815;ILLUMINA;Paired;;SRX13085512;SRA","Human","Human","Homo sapiens; human",2021,10,NA,NA,"Europe","United Kingdom","","","",NA,NA,NA,"Public Health England","Escherichia coli","","Escherichia",NA,"","",NA,"","PRJNA315192","SRP071789",NA,"SAMN23010653","SRS11022371",2021-11-10,2021-11-10,"ESC_XA4919AA","Assembled",90,98000,5334188,301,45568,"ESC_AC5588AA_AS",4.1
"ESC_ZA6037AA","32_United Kingdom",368,1,0,0,0,0,"940217","ESC_ZA6037AA","SRR19581474;ILLUMINA;Paired;;SRX15633302;SRA","Human","Human","Homo sapiens; human",2020,4,NA,"","","United Kingdom","Wales","","","",NA,NA,"Public Health England","Escherichia coli","","O145:H28","","","","","","PRJNA315192","SRP071789","","SAMN28776603","SRS13332989",2022-06-10,2022-06-08,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","940217","SRR19581474;ILLUMINA;Paired;;SRX15633302;SRA","Human","Human","Homo sapiens; human",2020,4,NA,NA,"","United Kingdom","Wales","","",NA,NA,NA,"Public Health England","Escherichia coli","","O145:H28",NA,"","",NA,"","PRJNA315192","SRP071789",NA,"SAMN28776603","SRS13332989",2022-06-10,2022-06-08,"ESC_ZA6037AA","Assembled",108,128562,5253520,268,33511,"ESC_DC4173AA_AS",4.1
"ESC_XA1868AA","32_United Kingdom",368,1,0,0,0,0,"1507498","ESC_XA1868AA","SRR16566161;ILLUMINA;Paired;;SRX12768187;SRA","Human","Human","Homo sapiens; human",2021,10,NA,"","Europe","United Kingdom","","","","",NA,NA,"Public Health England","Escherichia coli","","Escherichia","","","","","","PRJNA315192","SRP071789","","SAMN22562164","SRS10714164",2021-10-26,2021-10-26,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","1507498","SRR16566161;ILLUMINA;Paired;;SRX12768187;SRA","Human","Human","Homo sapiens; human",2021,10,NA,NA,"Europe","United Kingdom","","","",NA,NA,NA,"Public Health England","Escherichia coli","","Escherichia",NA,"","",NA,"","PRJNA315192","SRP071789",NA,"SAMN22562164","SRS10714164",2021-10-26,2021-10-26,"ESC_XA1868AA","Assembled",134,103005,5483082,355,64693,"ESC_AC3804AA_AS",4.1
"ESC_XA5152AA","32_United Kingdom",368,1,0,0,0,0,"1524633","ESC_XA5152AA","SRR16940992;ILLUMINA;Paired;;SRX13132942;SRA","Human","Human","Homo sapiens; human",2021,11,NA,"","Europe","United Kingdom","","","","",NA,NA,"Public Health England","Escherichia coli","","Escherichia","","","","","","PRJNA315192","SRP071789","","SAMN23134817","SRS11066543",2021-11-15,2021-11-15,NA,32,"ST32 Cplx","ABD",NA,19,23,18,24,21,2,16,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","1524633","SRR16940992;ILLUMINA;Paired;;SRX13132942;SRA","Human","Human","Homo sapiens; human",2021,11,NA,NA,"Europe","United Kingdom","","","",NA,NA,NA,"Public Health England","Escherichia coli","","Escherichia",NA,"","",NA,"","PRJNA315192","SRP071789",NA,"SAMN23134817","SRS11066543",2021-11-15,2021-11-15,"ESC_XA5152AA","Assembled",90,137784,5270772,270,25172,"ESC_AC5819AA_AS",4.1
