"Uberstrain","ST_Country","N_human_e.coli_shigella","N_bovine_e.coli_shigella","N_swine_e.coli_shigella","N_poultry_e.coli_shigella","N_dog_e.coli_shigella","N_water_e.coli_shigella","Name.x","Barcode.x","Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.","Source.Niche","Source.Type","Source.Details","Collection.Year","Collection.Month","Collection.Day","Collection.Time","Continent.x","Country.x","Region.x","District.x","City.x","Post.Code","Latitude.x","Longitude.x","Lab.Contact","Species.x","Serological.Group","Serotype.x","EcoR.Cluster","Path.Nonpath","Simple.Patho","Comment.x","Simple.Disease","Bio.Project.ID","Project.ID","Disease.x","Sample.ID","Secondary.Sample.ID","Date.Entered","Release.Date","Differences","ST","ST.Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA","is_common_ST","is_common_country","is_bovine","is_swine","is_poultry","is_human","is_human2","is_dog","is_water","is_concerned_host","Name.y","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)","Source Niche","Source Type","Source Details","Collection Year","Collection Month","Collection Day","Collection Time","Continent.y","Country.y","Region.y","District.y","City.y","Post Code","Latitude.y","Longitude.y","Lab Contact","Species.y","Serological Group","Serotype.y","EcoR Cluster","Path/Nonpath","Simple Patho","Simple Disease","Comment.y","Bio Project ID","Project ID","Disease.y","Sample ID","Secondary Sample ID","Date Entered","Release Date","Barcode.y","Status","Coverage","N50","Length","Contig Number(>=200 bp)","Low Quality Bases","Version","Assembly barcode"
"ESC_DB7092AA","11_New Zealand",77,80,1,0,0,1,"CD003","ESC_DB7092AA","SRR23438289;ILLUMINA;Paired;;SRX19351891;SRA","Livestock","Bovine","composite calf faeces",2017,3,NA,"","Oceania","New Zealand","Waikato","","","",NA,NA,"AgResearch NZ Limited","Escherichia coli","","O157:H7","","","","","","PRJNA933223","SRP422241","","SAMN33229961","SRS16748971","2023-02-14","2023-02-13",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","CD003","SRR23438289;ILLUMINA;Paired;;SRX19351891;SRA","Livestock","Bovine","composite calf faeces",2017,3,NA,NA,"Oceania","New Zealand","Waikato","",NA,NA,NA,NA,"AgResearch NZ Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA933223","SRP422241",NA,"SAMN33229961","SRS16748971",2023-02-14,2023-02-13,"ESC_DB7092AA","Assembled",150,181083,5457935,249,4280,5,"ESC_IC0525AA_AS"
"ESC_PA0958AA","11_New Zealand",77,80,1,0,0,1,"ERL04-3476","ESC_PA0958AA","SRR8114768;PACBIO_SMRT;Single;;SRX4941065;SRA,SRR7971252;PACBIO_SMRT;Single;;SRX4804287;SRA,SRR7971245;PACBIO_SMRT;Single;;SRX4804294;SRA,GCF_008931135;Complete Genome;;;;Complete Genome","Livestock","Swine","Pork",NA,NA,NA,"","Oceania","New Zealand","","","","",NA,NA,"United State Department of Agriculture","Escherichia coli","","O157:H7","","","","","","PRJNA494713","SRP163896","","SAMN10177961","SRS3883049","2019-11-18","2019-11-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL04-3476","SRR7971252;PACBIO_SMRT;Single;;SRX4804287;SRA,GCF_008931135;Complete Genome;;;;Complete Genome,SRR7971245;PACBIO_SMRT;Single;;SRX4804294;SRA,SRR8114768;PACBIO_SMRT;Single;;SRX4941065;SRA","Livestock","Swine","Pork",NA,NA,NA,NA,"Oceania","New Zealand","","",NA,NA,NA,NA,"United State Department of Agriculture","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA494713","SRP163896",NA,"SAMN10177961","SRS3883049",2019-11-18,2019-11-01,"ESC_PA0958AA","Assembled",1,5573120,5727332,3,0,NA,"ESC_LB2249AA_AS"
"ESC_PA0959AA","11_New Zealand",77,80,1,0,0,1,"NZRM4169","ESC_PA0959AA","SRR7971242;PACBIO_SMRT;Single;;SRX4804297;SRA,SRR7971241;PACBIO_SMRT;Single;;SRX4804298;SRA,GCF_008925965;Complete Genome;;;;Complete Genome","Human","Human","Homo sapiens",2003,NA,NA,"","Oceania","New Zealand","","","","",NA,NA,"United State Department of Agriculture","Escherichia coli","","O157:H7","","","","","","PRJNA494713","SRP163896","","SAMN10177969","SRS3883053","2019-11-18","2019-10-04",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","NZRM4169","GCF_008925965;Complete Genome;;;;Complete Genome,SRR7971241;PACBIO_SMRT;Single;;SRX4804298;SRA,SRR7971242;PACBIO_SMRT;Single;;SRX4804297;SRA","Human","Human","Homo sapiens",2003,NA,NA,NA,"Oceania","New Zealand","","",NA,NA,NA,NA,"United State Department of Agriculture","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA494713","SRP163896",NA,"SAMN10177969","SRS3883053",2019-11-18,2019-10-04,"ESC_PA0959AA","Assembled",1,5503501,5596785,2,0,NA,"ESC_LB2257AA_AS"
"ESC_PA0961AA","11_New Zealand",77,80,1,0,0,1,"ERL06-2442","ESC_PA0961AA","SRR7971255;PACBIO_SMRT;Single;;SRX4804284;SRA,GCF_008926165;Complete Genome;;;;Complete Genome,SRR7971244;PACBIO_SMRT;Single;;SRX4804295;SRA","Livestock","Bovine","Bovine (bobby calf, fecal)",NA,NA,NA,"","Oceania","New Zealand","","","","",NA,NA,"United State Department of Agriculture","Escherichia coli","","O157:H7","","","","","","PRJNA494713","SRP163896","","SAMN10177964","SRS3883047","2019-11-18","2019-10-04",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL06-2442","GCF_008926165;Complete Genome;;;;Complete Genome,SRR7971255;PACBIO_SMRT;Single;;SRX4804284;SRA,SRR7971244;PACBIO_SMRT;Single;;SRX4804295;SRA","Livestock","Bovine","Bovine (bobby calf, fecal)",NA,NA,NA,NA,"Oceania","New Zealand","","",NA,NA,NA,NA,"United State Department of Agriculture","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA494713","SRP163896",NA,"SAMN10177964","SRS3883047",2019-11-18,2019-10-04,"ESC_PA0961AA","Assembled",1,5519220,5610215,2,0,NA,"ESC_LB2252AA_AS"
"ESC_PA0962AA","11_New Zealand",77,80,1,0,0,1,"ERL05-0623","ESC_PA0962AA","SRR7971247;PACBIO_SMRT;Single;;SRX4804292;SRA,SRR7971246;PACBIO_SMRT;Single;;SRX4804293;SRA,GCF_008926305;Complete Genome;;;;Complete Genome","Livestock","Bovine","Bobby veal steak",NA,NA,NA,"","Oceania","New Zealand","","","","",NA,NA,"United State Department of Agriculture","Escherichia coli","","O157:H7","","","","","","PRJNA494713","SRP163896","","SAMN10177962","SRS3883052","2019-11-18","2019-10-04",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL05-0623","SRR7971247;PACBIO_SMRT;Single;;SRX4804292;SRA,SRR7971246;PACBIO_SMRT;Single;;SRX4804293;SRA,GCF_008926305;Complete Genome;;;;Complete Genome","Livestock","Bovine","Bobby veal steak",NA,NA,NA,NA,"Oceania","New Zealand","","",NA,NA,NA,NA,"United State Department of Agriculture","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA494713","SRP163896",NA,"SAMN10177962","SRS3883052",2019-11-18,2019-10-04,"ESC_PA0962AA","Assembled",1,5390258,5486349,3,0,NA,"ESC_LB2250AA_AS"
"ESC_PA0963AA","11_New Zealand",77,80,1,0,0,1,"NZRM4165","ESC_PA0963AA","SRR7971254;PACBIO_SMRT;Single;;SRX4804285;SRA,GCF_008926085;Complete Genome;;;;Complete Genome,SRR7971253;PACBIO_SMRT;Single;;SRX4804286;SRA","Human","Human","Homo sapiens",2003,NA,NA,"","Oceania","New Zealand","","","","",NA,NA,"United State Department of Agriculture","Escherichia coli","","O157:Hnm","","","","","","PRJNA494713","SRP163896","","SAMN10177968","SRS3883048","2019-11-18","2019-10-04",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","NZRM4165","SRR7971254;PACBIO_SMRT;Single;;SRX4804285;SRA,GCF_008926085;Complete Genome;;;;Complete Genome,SRR7971253;PACBIO_SMRT;Single;;SRX4804286;SRA","Human","Human","Homo sapiens",2003,NA,NA,NA,"Oceania","New Zealand","","",NA,NA,NA,NA,"United State Department of Agriculture","Escherichia coli",NA,"O157:Hnm",NA,NA,NA,NA,NA,"PRJNA494713","SRP163896",NA,"SAMN10177968","SRS3883048",2019-11-18,2019-10-04,"ESC_PA0963AA","Assembled",1,5414190,5504500,2,0,NA,"ESC_LB2256AA_AS"
"ESC_PA0964AA","11_New Zealand",77,80,1,0,0,1,"ERL06-2497","ESC_PA0964AA","SRR7971257;PACBIO_SMRT;Single;;SRX4804282;SRA,GCF_008926145;Complete Genome;;;;Complete Genome,SRR7971256;PACBIO_SMRT;Single;;SRX4804283;SRA,SRR7971258;PACBIO_SMRT;Single;;SRX4804281;SRA","Livestock","Bovine","bovine",NA,NA,NA,"","Oceania","New Zealand","","","","",NA,NA,"United State Department of Agriculture","Escherichia coli","","O157:H7","","","","","","PRJNA494713","SRP163896","","SAMN10177965","SRS3883046","2019-11-18","2019-10-04",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL06-2497","GCF_008926145;Complete Genome;;;;Complete Genome,SRR7971256;PACBIO_SMRT;Single;;SRX4804283;SRA,SRR7971257;PACBIO_SMRT;Single;;SRX4804282;SRA,SRR7971258;PACBIO_SMRT;Single;;SRX4804281;SRA","Livestock","Bovine","bovine",NA,NA,NA,NA,"Oceania","New Zealand","","",NA,NA,NA,NA,"United State Department of Agriculture","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA494713","SRP163896",NA,"SAMN10177965","SRS3883046",2019-11-18,2019-10-04,"ESC_PA0964AA","Assembled",1,5504769,5663907,4,0,NA,"ESC_LB2253AA_AS"
"ESC_PA0965AA","11_New Zealand",77,80,1,0,0,1,"ERL06-2503","ESC_PA0965AA","SRR7971259;PACBIO_SMRT;Single;;SRX4804280;SRA,SRR7971260;PACBIO_SMRT;Single;;SRX4804279;SRA,GCF_008926125;Complete Genome;;;;Complete Genome","Livestock","Bovine","Bovine (bobby calf, fecal)",NA,NA,NA,"","Oceania","New Zealand","","","","",NA,NA,"United State Department of Agriculture","Escherichia coli","","O157:H7","","","","","","PRJNA494713","SRP163896","","SAMN10177966","SRS3883045","2019-11-18","2019-10-04",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL06-2503","SRR7971259;PACBIO_SMRT;Single;;SRX4804280;SRA,SRR7971260;PACBIO_SMRT;Single;;SRX4804279;SRA,GCF_008926125;Complete Genome;;;;Complete Genome","Livestock","Bovine","Bovine (bobby calf, fecal)",NA,NA,NA,NA,"Oceania","New Zealand","","",NA,NA,NA,NA,"United State Department of Agriculture","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA494713","SRP163896",NA,"SAMN10177966","SRS3883045",2019-11-18,2019-10-04,"ESC_PA0965AA","Assembled",1,5547257,5638235,2,0,NA,"ESC_LB2254AA_AS"
"ESC_PA0973AA","11_New Zealand",77,80,1,0,0,1,"ERL03-1416","ESC_PA0973AA","SRR7971249;PACBIO_SMRT;Single;;SRX4804290;SRA,GCF_008931185;Complete Genome;;;;Complete Genome,SRR7971251;PACBIO_SMRT;Single;;SRX4804288;SRA,SRR7971250;PACBIO_SMRT;Single;;SRX4804289;SRA","Environment","Water/River","water",NA,NA,NA,"","Oceania","New Zealand","","","","",NA,NA,"United State Department of Agriculture","Escherichia coli","","O157:H7","","","","","","PRJNA494713","SRP163896","","SAMN10177960","SRS3883050","2019-11-18","2019-10-04",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","ERL03-1416","GCF_008931185;Complete Genome;;;;Complete Genome,SRR7971251;PACBIO_SMRT;Single;;SRX4804288;SRA,SRR7971250;PACBIO_SMRT;Single;;SRX4804289;SRA,SRR7971249;PACBIO_SMRT;Single;;SRX4804290;SRA","Environment","Water/River","water",NA,NA,NA,NA,"Oceania","New Zealand","","",NA,NA,NA,NA,"United State Department of Agriculture","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA494713","SRP163896",NA,"SAMN10177960","SRS3883050",2019-11-18,2019-10-04,"ESC_PA0973AA","Assembled",1,5427778,5581536,3,0,NA,"ESC_LB2248AA_AS"
"ESC_PA1640AA","11_New Zealand",77,80,1,0,0,1,"ERL05599","ESC_PA1640AA","SRR7644810;ILLUMINA;Paired;;SRX4508199;SRA","Livestock","Bovine","Bos taurus; bovine",2005,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765897","SRS3628128","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL05599","SRR7644810;ILLUMINA;Paired;;SRX4508199;SRA","Livestock","Bovine","Bos taurus; bovine",2005,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765897","SRS3628128",2019-11-18,2019-08-01,"ESC_PA1640AA","Assembled",193,178502,5422883,245,90832,4.1,"ESC_GB6373AA_AS"
