"assembly_barcode","source_type","species","ST"
"ESC_EC0627AA_AS","Human","Escherichia coli",131
"ESC_EC0633AA_AS","Human","Escherichia coli",131
"ESC_EC0637AA_AS","Human","Escherichia coli",131
"ESC_EC0638AA_AS","Human","Escherichia coli",131
"ESC_BA5420AA_AS","Canine","Escherichia coli",131
"ESC_FC1313AA_AS","Human","Escherichia coli",131
"ESC_FC4725AA_AS","Human","Escherichia coli",131
"ESC_FC4736AA_AS","Human","Escherichia coli",131
"ESC_BA4120AA_AS","Human","Escherichia coli",131
"ESC_CA2265AA_AS","Human","Escherichia coli",131
"ESC_CA4395AA_AS","Human","Escherichia coli",131
"ESC_BA2034AA_AS","Human","Escherichia coli",131
"ESC_BA7509AA_AS","Human","Escherichia coli",131
"ESC_CA2153AA_AS","Human","Escherichia coli",131
"ESC_CA4929AA_AS","Human","Escherichia coli",131
"ESC_BA0468AA_AS","Human","Escherichia coli",131
"ESC_BA5444AA_AS","Human","Escherichia coli",131
"ESC_CA1939AA_AS","Human","Escherichia coli",131
"ESC_BA1463AA_AS","Human","Escherichia coli",131
"ESC_BA2222AA_AS","Human","Escherichia coli",131
"ESC_BA5903AA_AS","Human","Escherichia coli",131
"ESC_AA8956AA_AS","Human","Escherichia coli",131
"ESC_CA0426AA_AS","Human","Escherichia coli",131
"ESC_BA7819AA_AS","Human","Escherichia coli",131
"ESC_BA1406AA_AS","Human","Escherichia coli",131
"ESC_BA4016AA_AS","Human","Escherichia coli",131
"ESC_BA5230AA_AS","Human","Escherichia coli",131
"ESC_BA4639AA_AS","Human","Escherichia coli",131
"ESC_GC3347AA_AS","Water/River","Escherichia coli",131
"ESC_GC3349AA_AS","Water/River","Escherichia coli",131
"ESC_GC3350AA_AS","Water/River","Escherichia coli",131
"ESC_GC3654AA_AS","Water/River","Escherichia coli",131
"ESC_GC3658AA_AS","Water/River","Escherichia coli",131
"ESC_GC3811AA_AS","Water/River","Escherichia coli",131
"ESC_GC3817AA_AS","Water/River","Escherichia coli",131
"ESC_GC3820AA_AS","Water/River","Escherichia coli",131
"ESC_GC3821AA_AS","Water/River","Escherichia coli",131
"ESC_GC3824AA_AS","Water/River","Escherichia coli",131
"ESC_GC3825AA_AS","Water/River","Escherichia coli",131
"ESC_GC3826AA_AS","Water/River","Escherichia coli",131
"ESC_GC3832AA_AS","Water/River","Escherichia coli",131
"ESC_GC3833AA_AS","Water/River","Escherichia coli",131
"ESC_HC1555AA_AS","Human","Escherichia coli",131
"ESC_HC1566AA_AS","Human","Escherichia coli",131
"ESC_HC1571AA_AS","Human","Escherichia coli",131
"ESC_HC1572AA_AS","Human","Escherichia coli",131
"ESC_HC1575AA_AS","Human","Escherichia coli",131
"ESC_GC9639AA_AS","Human","Escherichia coli",131
"ESC_IA2018AA_AS","Human","Escherichia coli",131
"ESC_IA2026AA_AS","Human","Escherichia coli",131
"ESC_IA2029AA_AS","Human","Escherichia coli",131
"ESC_IA2030AA_AS","Human","Escherichia coli",131
"ESC_IA2036AA_AS","Avian","Escherichia coli",131
"ESC_IA2043AA_AS","Human","Escherichia coli",131
"ESC_IA2047AA_AS","Human","Escherichia coli",131
"ESC_IA2053AA_AS","Swine","Escherichia coli",131
"ESC_IA2054AA_AS","Human","Escherichia coli",131
"ESC_IA2059AA_AS","Human","Escherichia coli",131
"ESC_IA2060AA_AS","Avian","Escherichia coli",131
"ESC_IA2069AA_AS","Water/River","Escherichia coli",131
"ESC_IA2076AA_AS","Human","Escherichia coli",131
"ESC_IA2077AA_AS","Human","Escherichia coli",131
"ESC_IA2079AA_AS","Human","Escherichia coli",131
"ESC_IA2084AA_AS","Human","Escherichia coli",131
"ESC_IA2085AA_AS","Human","Escherichia coli",131
"ESC_IA2087AA_AS","Human","Escherichia coli",131
"ESC_IA2093AA_AS","Human","Escherichia coli",131
"ESC_IA2095AA_AS","Human","Escherichia coli",131
"ESC_IA2096AA_AS","Human","Escherichia coli",131
"ESC_KA8794AA_AS","Human","Escherichia coli",131
"ESC_IA2102AA_AS","Human","Escherichia coli",131
"ESC_IA2110AA_AS","Human","Escherichia coli",131
"ESC_IA2112AA_AS","Human","Escherichia coli",131
"ESC_HA1973AA_AS","Human","Escherichia coli",131
"ESC_HA1972AA_AS","Human","Escherichia coli",131
"ESC_HA1971AA_AS","Human","Escherichia coli",131
"ESC_HA1970AA_AS","Human","Escherichia coli",131
"ESC_HC5598AA_AS","Human","Escherichia coli",131
"ESC_HC5599AA_AS","Human","Escherichia coli",131
