Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode
ESC_BA2987AA	OLC-797	SRR1783864;ILLUMINA;Paired;;SRX862850;NEW				2007	11			North America	Canada							Canadian Food Inspection Agency	Escherichia coli		O157:H7						PRJNA273275	SRP052916		SAMN03292347	SRS833806	2015-08-27	2015-04-28	ESC_BA2987AA	Assembled	78.28	114018	5391234	Escherichia coli / Shigella;100.0%	521	22231	2.2	ESC_CA6521AA_AS
ESC_BA3016AA	OLC-469	SRR1783850;ILLUMINA;Paired;;SRX862836;NEW				1995	3			North America	Canada							Canadian Food Inspection Agency	Escherichia coli		O157:H7						PRJNA273275	SRP052916		SAMN03292333	SRS833793	2015-08-27	2015-04-28	ESC_BA3016AA	Assembled	179.89	132581	5499916	Escherichia coli / Shigella;95.81%	572	18040	2.2	ESC_BA2720AA_AS
ESC_BA3026AA	OLC-1470	SRR1783843;ILLUMINA;Paired;;SRX862829;NEW				2014	5			North America	Canada							Canadian Food Inspection Agency	Escherichia coli		O157:H7						PRJNA273275	SRP052916		SAMN03292326	SRS833786	2015-08-27	2015-04-28	ESC_BA3026AA	Assembled	83.14	146610	5478639	Escherichia coli / Shigella;99.37%	555	30959	2.2	ESC_CA5494AA_AS
ESC_DA4450AA	8368	SRR3195847;ILLUMINA;Paired;;SRX1606146;SRA,GCF_001753485;Complete Genome;;;;Complete Genome,SRR4300075;PACBIO_SMRT;Single;;SRX2194625;SRA	Livestock	Bovine	Cattle Hide	2003	9			North America	Canada	Alberta						United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA291880	SRP070986		SAMN04447624	SRS1315729	2016-07-01	2016-03-29	ESC_DA4450AA	Assembled	1	5437532	5530258		2	0	NaN	ESC_KA7809AA_AS
ESC_DA4452AA	8106	SRR3195845;ILLUMINA;Paired;;SRX1606144;SRA	Livestock	Bovine	Cattle Hide	2003	9			North America	Canada	Alberta						United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA291880	SRP070986		SAMN04447622	SRS1315732	2016-07-01	2016-03-29	ESC_DA4452AA	Assembled	85	136225	5407723	Escherichia coli / Shigella;99.26%	337	58002	3.41	ESC_HA6257AA_AS
ESC_DA4454AA	8104	SRR3195843;ILLUMINA;Paired;;SRX1606142;SRA	Livestock	Bovine	Cattle Hide	2003	9			North America	Canada	Alberta						United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA291880	SRP070986		SAMN04447621	SRS1315734	2016-07-01	2016-03-29	ESC_DA4454AA	Assembled	132	98884	5451583	Escherichia coli / Shigella;99.66%	357	88148	3.41	ESC_HA6255AA_AS
ESC_DA4455AA	8103	SRR3195842;ILLUMINA;Paired;;SRX1606141;SRA	Livestock	Bovine	Cattle Hide	2003	9			North America	Canada	Alberta						United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA291880	SRP070986		SAMN04447620	SRS1315735	2016-07-01	2016-03-29	ESC_DA4455AA	Assembled	98	74020	5452241	Escherichia coli / Shigella;99.67%	366	98377	3.41	ESC_HA6254AA_AS
ESC_DA4457AA	8377	SRR3195840;ILLUMINA;Paired;;SRX1606139;SRA	Livestock	Bovine	Cattle Hide	2003	9			North America	Canada	Alberta						United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA291880	SRP070986		SAMN04447618	SRS1315711	2016-07-01	2016-03-29	ESC_DA4457AA	Assembled	63	115918	5387468	Escherichia coli / Shigella;100.0%	284	43476	3.41	ESC_HA6252AA_AS
ESC_DA4461AA	8398	SRR3195836;ILLUMINA;Paired;;SRX1606135;SRA	Livestock	Bovine	Cattle Hide	2003	9			North America	Canada	Alberta						United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA291880	SRP070986		SAMN04447614	SRS1315714	2016-07-01	2016-03-29	ESC_DA4461AA	Assembled	96	112956	5344645	Escherichia coli / Shigella;98.46%	302	67393	3.41	ESC_HA6248AA_AS
ESC_DA4462AA	8350	SRR3195835;ILLUMINA;Paired;;SRX1606134;SRA	Livestock	Bovine	Cattle Hide	2003	9			North America	Canada	Alberta						United State Department of Agriculture	Escherichia coli		O157:H7						PRJNA291880	SRP070986		SAMN04447613	SRS1315716	2016-07-01	2016-03-29	ESC_DA4462AA	Assembled	101	135933	5399018	Escherichia coli / Shigella;100.0%	262	28766	3.41	ESC_HA6247AA_AS
