Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode
ESC_DA3330AA	8_2_TI16	traces-0NnrjdC;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Biopsy					Oceania	Australia	Australian Capital Territory		Canberra				David Gordon	Escherichia coli													2016-06-21	2017-06-28	ESC_DA3330AA	Assembled	37	33581	5221059	Escherichia coli / Shigella;97.56%	387	40031	3.41	ESC_HA0296AA_AS
ESC_DA3422AA	8_5_Ti14	traces-0DWNZok;ILLUMINA;Paired;;NA;Uploaded	Human	Human	Biopsy					Oceania	Australia	Australian Capital Territory		Canberra				David Gordon	Escherichia coli													2016-06-27	2017-07-04	ESC_DA3422AA	Assembled	39	38955	5230906	Escherichia coli / Shigella;97.34%	336	36257	3.41	ESC_HA0770AA_AS
ESC_EA4704AA	1.4-R4	SRR4067494;ILLUMINA;Paired;;SRX2054698;SRA	Human	Human	Homo sapiens; feces	2008				Oceania	Australia	New South Wales		Sydney				University of Melbourne	Escherichia coli								PRJNA335932	SRP082992		SAMN05567330	SRS1646770	2016-09-02	2016-09-01	ESC_EA4704AA	Assembled	90	70000	5146552	Escherichia coli / Shigella;99.21%	235	3997	3.51	ESC_IA0803AA_AS
ESC_EA4705AA	21.1-R1	SRR4067493;ILLUMINA;Paired;;SRX2054697;SRA	Human	Human	Homo sapiens; feces	2010				Oceania	Australia	New South Wales		Sydney				University of Melbourne	Escherichia coli								PRJNA335932	SRP082992		SAMN05567329	SRS1646769	2016-09-02	2016-09-01	ESC_EA4705AA	Assembled	132	103207	5244395	Escherichia coli / Shigella;98.22%	195	2949	3.51	ESC_IA0802AA_AS
ESC_EA4709AA	15.1-R1	SRR4067489;ILLUMINA;Paired;;SRX2054693;SRA	Human	Human	Homo sapiens; feces	2009				Oceania	Australia	New South Wales		Sydney				University of Melbourne	Escherichia coli								PRJNA335932	SRP082992		SAMN05567331	SRS1646765	2016-09-02	2016-09-01	ESC_EA4709AA	Assembled	115	81180	5030640	Escherichia coli / Shigella;99.05%	211	7401	3.51	ESC_IA0798AA_AS
ESC_EA4717AA	2.2-R2	SRR4067481;ILLUMINA;Paired;;SRX2054685;SRA	Human	Human	Homo sapiens; feces	2008				Oceania	Australia	New South Wales		Sydney				University of Melbourne	Escherichia coli								PRJNA335932	SRP082992		SAMN05567326	SRS1646757	2016-09-02	2016-09-01	ESC_EA4717AA	Assembled	122	76045	5121854	Escherichia coli / Shigella;97.72%	239	3191	3.51	ESC_IA0790AA_AS
ESC_EA4731AA	1-R1	SRR4067467;ILLUMINA;Paired;;SRX2054671;SRA	Human	Human	Homo sapiens; feces	2008				Oceania	Australia	New South Wales		Sydney				University of Melbourne	Escherichia coli								PRJNA335932	SRP082992		SAMN05567325	SRS1646748	2016-09-02	2016-09-01	ESC_EA4731AA	Assembled	136	63273	5176339	Escherichia coli / Shigella;98.48%	237	2128	3.51	ESC_IA0776AA_AS
ESC_EA4734AA	24-R3	SRR4067432;ILLUMINA;Paired;;SRX2054664;SRA	Human	Human	Homo sapiens; feces	2013				Oceania	Australia	New South Wales		Sydney				University of Melbourne	Escherichia coli								PRJNA335932	SRP082992		SAMN05567336	SRS1646737	2016-09-02	2016-09-01	ESC_EA4734AA	Assembled	110	81224	5010644	Escherichia coli / Shigella;98.95%	186	2455	3.51	ESC_IA0773AA_AS
ESC_FA4704AA	E2065_23	SRR5075712;ILLUMINA;Paired;;SRX2394655;SRA	Environment	Water/River	Tap Water					Oceania	Australia	Australian Capital Territory		Canberra				Australian National University	Escherichia coli								PRJNA356186	SRP094538		SAMN06109020	SRS1835999	2016-12-06	2016-12-06	ESC_FA4704AA	Assembled	63	103521	4681948	Escherichia coli / Shigella;93.11%	128	14679	3.51	ESC_KA6959AA_AS
ESC_FA4715AA	E2018_7	SRR5075701;ILLUMINA;Paired;;SRX2394644;SRA	Environment	Water/River	Tap Water					Oceania	Australia	Australian Capital Territory		Canberra				Australian National University	Escherichia coli								PRJNA356186	SRP094538		SAMN06109004	SRS1835988	2016-12-06	2016-12-06	ESC_FA4715AA	Assembled	64	93331	4681150	Escherichia coli / Shigella;94.03%	144	15383	3.51	ESC_KA6970AA_AS
