"assembly_barcode","Uberstrain","ST_Country","N_human_e.coli_shigella","N_bovine_e.coli_shigella","N_swine_e.coli_shigella","N_poultry_e.coli_shigella","N_dog_e.coli_shigella","N_water_e.coli_shigella","Name.x","Barcode.x","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).x","Source Niche.x","source_type","Source Details.x","Collection Year.x","Collection Month.x","Collection Day.x","Collection Time.x","Continent.x","Country.x","Region.x","District.x","City.x","Post Code.x","Latitude.x","Longitude.x","Lab Contact.x","Species.x","Serological Group.x","Serotype.x","EcoR Cluster.x","Path/Nonpath.x","Simple Patho.x","Comment.x","Simple Disease.x","Bio Project ID.x","Project ID.x","Disease.x","Sample ID.x","Secondary Sample ID.x","Date Entered.x","Release Date.x","Differences","ST","ST Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA","is_common_ST","is_common_country","is_bovine","is_swine","is_poultry","is_human","is_human2","is_dog","is_water","is_concerned_host","Name.y","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).y","Source Niche.y","Source Type.y","Source Details.y","Collection Year.y","Collection Month.y","Collection Day.y","Collection Time.y","Continent.y","Country.y","Region.y","District.y","City.y","Post Code.y","Latitude.y","Longitude.y","Lab Contact.y","Species.y","Serological Group.y","Serotype.y","EcoR Cluster.y","Path/Nonpath.y","Simple Patho.y","Simple Disease.y","Comment.y","Bio Project ID.y","Project ID.y","Disease.y","Sample ID.y","Secondary Sample ID.y","Date Entered.y","Release Date.y","Barcode.y","Status","Coverage","N50","Length","Contig Number(>=200 bp)","Low Quality Bases","Version"
"ESC_CA0677AA_AS","ESC_BA9286AA","95_Denmark",112,0,0,26,0,0,"HVH 192 (4-3054470)","ESC_BA9286AA","SRR958375;ILLUMINA;Paired;5000;SRX340375;NEW,SRR958376;ILLUMINA;Paired;5000;SRX340375;NEW,SRR784506;ILLUMINA;Paired;180;SRX251181;NEW,SRR770155;ILLUMINA;Paired;180;SRX247825;NEW","Human","Human","blood; Homo sapiens",2003,NA,NA,"","Europe","Denmark","","","","",NA,NA,"Broad Institute","Escherichia coli","","","","","","","","PRJNA186218","SRP019150","","SAMN01885831","SRS399698",2015-08-27,2013-08-28,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","HVH 192 (4-3054470)","SRR958375;ILLUMINA;Paired;5000;SRX340375;NEW,SRR958376;ILLUMINA;Paired;5000;SRX340375;NEW,SRR784506;ILLUMINA;Paired;180;SRX251181;NEW,SRR770155;ILLUMINA;Paired;180;SRX247825;NEW","Human","Human","blood; Homo sapiens",2003,NA,NA,NA,"Europe","Denmark","","","",NA,NA,NA,"Broad Institute","Escherichia coli","","","","","","","","PRJNA186218","SRP019150","","SAMN01885831","SRS399698",2015-08-27,2013-08-28,"ESC_BA9286AA","Assembled",73.61,186055,5131431,157,5053,2.2
"ESC_CC1326AA_AS","ESC_YA4068AA","95_United States",626,36,2,63,25,12,"EC-Chicken-PA16802PPY30066","ESC_YA4068AA","SRR17774311;ILLUMINA;Paired;;SRX13936685;SRA","Poultry","Poultry","chicken; Liver 1",2020,7,3,"","North America","United States","Pennsylvania","","","",NA,NA,"USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBPL","Escherichia coli","","","","","","","","PRJNA510384","SRP256141","","SAMN25289155","SRS11780647",2022-01-31,2022-01-26,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"yes","EC-Chicken-PA16802PPY30066","SRR17774311;ILLUMINA;Paired;;SRX13936685;SRA","Poultry","Poultry","chicken; Liver 1",2020,7,3,NA,"North America","United States","Pennsylvania","","",NA,NA,NA,"USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBPL","Escherichia coli","","","","","","","","PRJNA510384","SRP256141","","SAMN25289155","SRS11780647",2022-01-31,2022-01-26,"ESC_YA4068AA","Assembled",146,61287,5226360,213,39141,4.1
"ESC_DC3022AA_AS","ESC_ZA5454AA","95_United Kingdom",208,1,0,30,1,12,"CAN191","ESC_ZA5454AA","traces-0EDUpcX;ILLUMINA;Paired;;;Uploaded","Companion Animal","Canine","",2022,NA,NA,"","Europe","United Kingdom","","Edinburgh","Edinburgh","",NA,NA,"Alison Low","Escherichia coli","","","","","","PATH-SAFE project","","","","","","",2022-06-06,2023-06-01,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"yes","CAN191","traces-0EDUpcX;ILLUMINA;Paired;;;Uploaded","Companion Animal","Canine","",2022,NA,NA,NA,"Europe","United Kingdom","","Edinburgh","Edinburgh",NA,NA,NA,"Alison Low","Escherichia coli","","","","","","","PATH-SAFE project","","","","","",2022-06-06,2023-06-01,"ESC_ZA5454AA","Assembled",108,204000,5288692,105,57963,4.1
"ESC_DC3843AA_AS","ESC_ZA5958AA","95_Australia",153,0,0,63,6,4,"FH97","ESC_ZA5958AA","traces-0sIVhJA;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","broiler chicken",2015,NA,NA,"","Oceania","Australia","","","","",NA,NA,"AusGEM","Escherichia coli","","","","","APEC","","","","","","","",2022-06-09,2023-06-16,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"yes","FH97","traces-0sIVhJA;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","broiler chicken",2015,NA,NA,NA,"Oceania","Australia","","","",NA,NA,NA,"AusGEM","Escherichia coli","","","","","APEC","","","","","","","",2022-06-09,2023-06-16,"ESC_ZA5958AA","Assembled",71,206717,5331310,123,31288,4.1
"ESC_DC5436AA_AS","ESC_AB0982AA","95_Australia",153,0,0,63,6,4,"FH94","ESC_AB0982AA","traces-0NszuXI;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","broiler chicken",2015,NA,NA,"","Oceania","Australia","","","","",NA,NA,"AusGEM","Escherichia coli","","","","","APEC","","","","","","","",2022-06-15,2023-06-22,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"yes","FH94","traces-0NszuXI;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","broiler chicken",2015,NA,NA,NA,"Oceania","Australia","","","",NA,NA,NA,"AusGEM","Escherichia coli","","","","","APEC","","","","","","","",2022-06-15,2023-06-22,"ESC_AB0982AA","Assembled",65,263168,5250191,105,37632,4.1
"ESC_EC1002AA_AS","ESC_AB2911AA","95_United States",626,36,2,63,25,12,"FSIS12212920","ESC_AB2911AA","SRR20063843;ILLUMINA;Paired;;SRX16101994;SRA","Livestock","Bovine","Animal-Cattle-Dairy Cow (cecal)",2022,NA,NA,"","","United States","","","","",NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","","","","","","","PRJNA292667","SRP066916","","SAMN29614935","SRS13767166",2022-07-16,2022-07-08,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","FSIS12212920","SRR20063843;ILLUMINA;Paired;;SRX16101994;SRA","Livestock","Bovine","Animal-Cattle-Dairy Cow (cecal)",2022,NA,NA,NA,"","United States","","","",NA,NA,NA,"United States Department of Agriculture, Food Safety and Inspection Service","Escherichia coli","","","","","","","","PRJNA292667","SRP066916","","SAMN29614935","SRS13767166",2022-07-16,2022-07-08,"ESC_AB2911AA","Assembled",111,126094,5282002,142,48009,4.1
"ESC_FC6870AA_AS","ESC_BB6013AA","95_United States",626,36,2,63,25,12,"697698","ESC_BB6013AA","SRR21826585;ILLUMINA;Paired;;SRX17815950;SRA","Human","Human","Homo sapiens; urine",2019,10,4,"","North America","United States","Washington, D.C.","","","",38.97,-77.03,"MRSN BI Team","Escherichia coli","","","","","","","","PRJNA809394","SRP401320","","SAMN26308577","SRS15339904",2022-10-07,2022-10-06,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","697698","SRR21826585;ILLUMINA;Paired;;SRX17815950;SRA","Human","Human","Homo sapiens; urine",2019,10,4,NA,"North America","United States","Washington, D.C.","","",NA,38.97,-77.03,"MRSN BI Team","Escherichia coli","","","","","","","","PRJNA809394","SRP401320","","SAMN26308577","SRS15339904",2022-10-07,2022-10-06,"ESC_BB6013AA","Assembled",236,224127,5353093,100,12356,4.1
"ESC_GC1947AA_AS","ESC_CB0184AA","95_Australia",153,0,0,63,6,4,"AUSMDU00011324","ESC_CB0184AA","SRR21883679;ILLUMINA;Paired;;SRX17870728;SRA","Human","Human","Homo sapiens",2017,NA,NA,"","Oceania","Australia","Victoria","","","",NA,NA,"Microbiological Diagnostic Unit Public Health Laboratory","Escherichia coli","","O157:H7","","","","","","PRJNA857526","SRP390960","","SAMN31262668","SRS15388965",2022-10-19,2022-10-18,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","AUSMDU00011324","SRR21883679;ILLUMINA;Paired;;SRX17870728;SRA","Human","Human","Homo sapiens",2017,NA,NA,NA,"Oceania","Australia","Victoria","","",NA,NA,NA,"Microbiological Diagnostic Unit Public Health Laboratory","Escherichia coli","","O157:H7","","","","","","PRJNA857526","SRP390960","","SAMN31262668","SRS15388965",2022-10-19,2022-10-18,"ESC_CB0184AA","Assembled",185,251551,5340892,107,29364,4.1
"ESC_GC6825AA_AS","ESC_CB4716AA","95_United States",626,36,2,63,25,12,"22TN10PC07N-EC","ESC_CB4716AA","SRR22247137;ILLUMINA;Paired;;SRX18223781;SRA","Livestock","Swine","Pork Chop",2022,NA,NA,"","North America","United States","Tennessee","","","",NA,NA,"PulseNet Next Generation Subtyping Methods Unit","Escherichia coli","","","","","","","","PRJNA292663","SRP161673","","SAMN31671426","SRS15720192",2022-11-10,2022-11-09,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","22TN10PC07N-EC","SRR22247137;ILLUMINA;Paired;;SRX18223781;SRA","Livestock","Swine","Pork Chop",2022,NA,NA,NA,"North America","United States","Tennessee","","",NA,NA,NA,"PulseNet Next Generation Subtyping Methods Unit","Escherichia coli","","","","","","","","PRJNA292663","SRP161673","","SAMN31671426","SRS15720192",2022-11-10,2022-11-09,"ESC_CB4716AA","Assembled",89,94640,5211426,245,92433,4.1
"ESC_HA7595AA_AS","ESC_EA1823AA","95_Japan",129,2,0,1,0,41,"KOr013","ESC_EA1823AA","DRR063419;ILLUMINA;Paired;600;DRX057660;SRA,DRR063292;ILLUMINA;Paired;600;DRX057533;SRA","Environment","Water/River","river",NA,NA,NA,"","Asia","Japan","","","","",NA,NA,"KYOTO_ENG","Escherichia coli","","","","","","","","PRJDB4884","DRP003212","","SAMD00053078","DRS032715",2016-07-28,2016-07-26,NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","KOr013","DRR063419;ILLUMINA;Paired;600;DRX057660;SRA,DRR063292;ILLUMINA;Paired;600;DRX057533;SRA","Environment","Water/River","river",NA,NA,NA,NA,"Asia","Japan","","","",NA,NA,NA,"KYOTO_ENG","Escherichia coli","","","","","","","","PRJDB4884","DRP003212","","SAMD00053078","DRS032715",2016-07-28,2016-07-26,"ESC_EA1823AA","Assembled",84,164450,5180676,106,4806,3.51
