Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Assembly barcode	Version
ESC_BA0470AA	BL21 (TaKaRa)	SRR2014531;ILLUMINA;Paired;150;SRX1021861;NEW,SRR3883475;ILLUMINA;Paired;;SRX1939499;SRA,GCF_000833145;Complete Genome;;;;Complete Genome	Laboratory	Laboratory	NA(common laboratory strain)													KRIBB	Escherichia coli								PRJNA272570	SRP058110		SAMN03301757	SRS931822	2015-08-27	2015-05-31	ESC_BA0470AA	Assembled	1	4528118	4528118		1	0	ESC_GA4769AA_AS	NaN
ESC_BA1137AA	AZ_TG76970	SRR1973882;ILLUMINA;Paired;500;SRX995218;NEW	Poultry	Avian	chicken; boneless skinless chicken breast	2014	11	5		North America	United States	District of Columbia	District of Columbia	Washington		38.9	-76.9	FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	Escherichia coli								PRJNA230968	SRP038995		SAMN03295426	SRS909590	2015-08-27	2015-04-14	ESC_BA1137AA	Assembled	93.75	121733	4987472	Escherichia coli / Shigella;93.59%	178	3439	ESC_BA4062AA_AS	2.2
ESC_BA1781AA	E. coli B	ERR598471;ILLUMINA;Paired;397;ERX555434;NEW																Justus Liebig University Giessen	Escherichia coli								PRJEB7107	ERP006792		SAMEA2757703	ERS542034	2015-08-27	2015-03-26	ESC_BA1781AA	Assembled	0	131538	4537448	Escherichia coli / Shigella;100.0%	80	2298	ESC_BA8510AA_AS	2.2
ESC_BA2706AA	IHD45_11	SRR1788015;ILLUMINA;Paired;;SRX865505;NEW	Human	Human	Homo sapiens; feces	2012	4	7		Asia	Cambodia	Unresolved	Unresolved	Unresolved		13.3622	103.8597	University of Oxford	Escherichia coli								PRJNA274331	SRP053197		SAMN03325989	SRS836913	2015-08-27	2015-05-09	ESC_BA2706AA	Assembled	0	152165	4580641	Escherichia coli / Shigella;96.93%	79	2498	ESC_BA8874AA_AS	2.2
ESC_BA2708AA	IHD45_10	SRR1788014;ILLUMINA;Paired;;SRX865504;NEW	Human	Human	Homo sapiens; feces	2012	4	7		Asia	Cambodia	Unresolved	Unresolved	Unresolved		13.3622	103.8597	University of Oxford	Escherichia coli								PRJNA274331	SRP053197		SAMN03325988	SRS836912	2015-08-27	2015-05-09	ESC_BA2708AA	Assembled	98.05	150606	4581693	Escherichia coli / Shigella;97.05%	88	1943	ESC_BA2818AA_AS	2.2
ESC_BA6415AA	ECO0022	ERR439668;ILLUMINA;Paired;250;ERX406331;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2204250	ERS356761	2015-08-27	2014-05-14	ESC_BA6415AA	Assembled	82.38	95358	4925797	Escherichia coli / Shigella;96.24%	144	2240	ESC_CA4475AA_AS	2.2
ESC_BA6856AA	ECO0291	ERR434469;ILLUMINA;Paired;210;ERX400744;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2204508	ERS357019	2015-08-27	2014-05-14	ESC_BA6856AA	Assembled	85.02	106737	5098086	Escherichia coli / Shigella;99.37%	173	2665	ESC_BA5505AA_AS	2.2
ESC_BA7236AA	eo2017	ERR434605;ILLUMINA;Paired;226;ERX400880;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2205347	ERS357858	2015-08-27	2014-05-14	ESC_BA7236AA	Assembled	79.89	106109	4911101	Escherichia coli / Shigella;99.35%	182	3231	ESC_BA2881AA_AS	2.2
ESC_BA7585AA	eo1350	ERR435348;ILLUMINA;Paired;227;ERX401623;NEW			blood; Homo sapiens					Europe								THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2205265	ERS357776	2015-08-27	2014-05-14	ESC_BA7585AA	Assembled	76.35	116577	4943969	Escherichia coli / Shigella;96.49%	184	2495	ESC_CA1730AA_AS	2.2
ESC_BA9230AA	KOEGE 7 (16a)	SRR785786;ILLUMINA;Paired;180;SRX251403;NEW,SRR785787;ILLUMINA;Paired;180;SRX251403;NEW,SRR958539;ILLUMINA;Paired;5000;SRX340501;NEW,SRR958538;ILLUMINA;Paired;5000;SRX340501;NEW	Human	Human	urine; Homo sapiens	2005				Europe	Denmark							Broad Institute	Escherichia coli								PRJNA186256	SRP019634		SAMN01885866	SRS402265	2015-08-27	2013-08-28	ESC_BA9230AA	Assembled	0	68315	4960668	Escherichia coli / Shigella;95.59%	220	2012	ESC_CA0042AA_AS	2.2
