"Uberstrain","ST_Country","N_human_e.coli_shigella","N_bovine_e.coli_shigella","N_swine_e.coli_shigella","N_poultry_e.coli_shigella","N_dog_e.coli_shigella","N_water_e.coli_shigella","Name.x","Barcode.x","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).x","Source Niche.x","Source Type.x","Source Details.x","Collection Year.x","Collection Month.x","Collection Day.x","Collection Time.x","Continent.x","Country.x","Region.x","District.x","City.x","Post Code.x","Latitude.x","Longitude.x","Lab Contact.x","Species.x","Serological Group.x","Serotype.x","EcoR Cluster.x","Path/Nonpath.x","Simple Patho.x","Comment.x","Simple Disease.x","Bio Project ID.x","Project ID.x","Disease.x","Sample ID.x","Secondary Sample ID.x","Date Entered.x","Release Date.x","Differences","ST","ST Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA","is_common_ST","is_common_country","is_bovine","is_swine","is_poultry","is_human","is_human2","is_dog","is_water","is_concerned_host","Name.y","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).y","Source Niche.y","Source Type.y","Source Details.y","Collection Year.y","Collection Month.y","Collection Day.y","Collection Time.y","Continent.y","Country.y","Region.y","District.y","City.y","Post Code.y","Latitude.y","Longitude.y","Lab Contact.y","Species.y","Serological Group.y","Serotype.y","EcoR Cluster.y","Path/Nonpath.y","Simple Patho.y","Simple Disease.y","Comment.y","Bio Project ID.y","Project ID.y","Disease.y","Sample ID.y","Secondary Sample ID.y","Date Entered.y","Release Date.y","Barcode.y","Status","Coverage","N50","Length","Contig Number(>=200 bp)","Low Quality Bases","Version","Assembly barcode"
"ESC_AB2536AA","131_Spain",210,4,17,17,2,44,"SAMEA12940748","ESC_AB2536AA","ERR8604520;ILLUMINA;Paired;;ERX8237100;SRA","Human","Human","Homo sapiens; human",2019,4,NA,"","Europe","Spain","","","","",NA,NA,"Instituto de Salud Carlos III","Escherichia coli","","","","","","","","PRJEB50822","ERP135426","","SAMEA12940748","ERS10539545",2022-07-16,2022-07-14,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","SAMEA12940748","ERR8604520;ILLUMINA;Paired;;ERX8237100;SRA","Human","Human","Homo sapiens; human",2019,4,NA,NA,"Europe","Spain","","","",NA,NA,NA,"Instituto de Salud Carlos III","Escherichia coli",NA,"",NA,"",NA,"","","PRJEB50822","ERP135426",NA,"SAMEA12940748","ERS10539545",2022-07-16,2022-07-14,"ESC_AB2536AA","Assembled",538,342364,5228136,77,24836,4.1,"ESC_EC0627AA_AS"
"ESC_AB2542AA","131_Spain",210,4,17,17,2,44,"SAMEA12940741","ESC_AB2542AA","ERR8604514;ILLUMINA;Paired;;ERX8237094;SRA","Human","Human","Homo sapiens; human",2019,2,NA,"","Europe","Spain","","","","",NA,NA,"Instituto de Salud Carlos III","Escherichia coli","","","","","","","","PRJEB50822","ERP135426","","SAMEA12940741","ERS10539538",2022-07-16,2022-07-14,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","SAMEA12940741","ERR8604514;ILLUMINA;Paired;;ERX8237094;SRA","Human","Human","Homo sapiens; human",2019,2,NA,NA,"Europe","Spain","","","",NA,NA,NA,"Instituto de Salud Carlos III","Escherichia coli",NA,"",NA,"",NA,"","","PRJEB50822","ERP135426",NA,"SAMEA12940741","ERS10539538",2022-07-16,2022-07-14,"ESC_AB2542AA","Assembled",61,145469,5142753,123,18787,4.1,"ESC_EC0633AA_AS"
"ESC_AB2546AA","131_Spain",210,4,17,17,2,44,"SAMEA12940737","ESC_AB2546AA","ERR8604510;ILLUMINA;Paired;;ERX8237090;SRA","Human","Human","Homo sapiens; human",2019,3,NA,"","Europe","Spain","","","","",NA,NA,"Instituto de Salud Carlos III","Escherichia coli","","","","","","","","PRJEB50822","ERP135426","","SAMEA12940737","ERS10539534",2022-07-16,2022-07-14,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","SAMEA12940737","ERR8604510;ILLUMINA;Paired;;ERX8237090;SRA","Human","Human","Homo sapiens; human",2019,3,NA,NA,"Europe","Spain","","","",NA,NA,NA,"Instituto de Salud Carlos III","Escherichia coli",NA,"",NA,"",NA,"","","PRJEB50822","ERP135426",NA,"SAMEA12940737","ERS10539534",2022-07-16,2022-07-14,"ESC_AB2546AA","Assembled",685,188453,5153473,117,74782,4.1,"ESC_EC0637AA_AS"
"ESC_AB2547AA","131_Spain",210,4,17,17,2,44,"SAMEA12940736","ESC_AB2547AA","ERR8604509;ILLUMINA;Paired;;ERX8237089;SRA","Human","Human","Homo sapiens; human",2019,2,NA,"","Europe","Spain","","","","",NA,NA,"Instituto de Salud Carlos III","Escherichia coli","","","","","","","","PRJEB50822","ERP135426","","SAMEA12940736","ERS10539533",2022-07-16,2022-07-14,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","SAMEA12940736","ERR8604509;ILLUMINA;Paired;;ERX8237089;SRA","Human","Human","Homo sapiens; human",2019,2,NA,NA,"Europe","Spain","","","",NA,NA,NA,"Instituto de Salud Carlos III","Escherichia coli",NA,"",NA,"",NA,"","","PRJEB50822","ERP135426",NA,"SAMEA12940736","ERS10539533",2022-07-16,2022-07-14,"ESC_AB2547AA","Assembled",376,203082,5218974,122,27730,4.1,"ESC_EC0638AA_AS"
"ESC_BA9749AA","131_Spain",210,4,17,17,2,44,"Escherichia coliVM/13/59","ESC_BA9749AA","ERR264241;ILLUMINA;Paired;236;ERX238759;NEW","Companion Animal","Canine","Dog",2008,NA,NA,"","Europe","Spain","","","","",NA,NA,"THE SANGER CENTER","Escherichia coli","","","","","","","","PRJEB1252","ERP002086","","SAMEA1877492","ERS193891",2015-08-27,2013-04-29,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"yes","Escherichia coliVM/13/59","ERR264241;ILLUMINA;Paired;236;ERX238759;NEW","Companion Animal","Canine","Dog",2008,NA,NA,NA,"Europe","Spain","","","",NA,NA,NA,"THE SANGER CENTER","Escherichia coli",NA,"",NA,"",NA,"","","PRJEB1252","ERP002086",NA,"SAMEA1877492","ERS193891",2015-08-27,2013-04-29,"ESC_BA9749AA","Assembled",0,319752,5133501,95,1363,2.2,"ESC_BA5420AA_AS"
"ESC_BB1824AA","131_Spain",210,4,17,17,2,44,"20220454","ESC_BB1824AA","traces-0YpTptd;ILLUMINA;Paired;;NA;Uploaded","Human","Human","",2022,NA,NA,"","Europe","Spain","Andalusia","","","",NA,NA,"University Hospital Virgen Macarena","Escherichia coli","","","","","","","","","","","","",2022-08-29,2023-09-05,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","20220454","traces-0YpTptd;ILLUMINA;Paired;;NA;Uploaded","Human","Human","",2022,NA,NA,NA,"Europe","Spain","Andalusia","","",NA,NA,NA,"University Hospital Virgen Macarena","Escherichia coli",NA,"",NA,"",NA,"","","","",NA,"","",2022-08-29,2023-09-05,"ESC_BB1824AA","Assembled",94,157675,5193227,125,33787,4.1,"ESC_FC1313AA_AS"
"ESC_BB4447AA","131_Spain",210,4,17,17,2,44,"20200661","ESC_BB4447AA","traces-0QYUsag;ILLUMINA;Paired;;NA;Uploaded","Human","Human","",2020,NA,NA,"","Europe","Spain","Andalusia","","","",NA,NA,"University Hospital Virgen Macarena","Escherichia coli","","","","","","OXA-48","","","","","","",2022-09-19,2023-09-26,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","20200661","traces-0QYUsag;ILLUMINA;Paired;;NA;Uploaded","Human","Human","",2020,NA,NA,NA,"Europe","Spain","Andalusia","","",NA,NA,NA,"University Hospital Virgen Macarena","Escherichia coli",NA,"",NA,"",NA,"","OXA-48","","",NA,"","",2022-09-19,2023-09-26,"ESC_BB4447AA","Assembled",33,173930,5369683,119,74813,4.1,"ESC_FC4725AA_AS"
"ESC_BB4458AA","131_Spain",210,4,17,17,2,44,"20190664","ESC_BB4458AA","traces-0RQcLVY;ILLUMINA;Paired;;NA;Uploaded","Human","Human","",2019,NA,NA,"","Europe","Spain","Andalusia","","","",NA,NA,"University Hospital Virgen Macarena","Escherichia coli","","","","","","OXA-48","","","","","","",2022-09-19,2023-09-26,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","20190664","traces-0RQcLVY;ILLUMINA;Paired;;NA;Uploaded","Human","Human","",2019,NA,NA,NA,"Europe","Spain","Andalusia","","",NA,NA,NA,"University Hospital Virgen Macarena","Escherichia coli",NA,"",NA,"",NA,"","OXA-48","","",NA,"","",2022-09-19,2023-09-26,"ESC_BB4458AA","Assembled",49,172671,5414494,192,44657,4.1,"ESC_FC4736AA_AS"
"ESC_CA0111AA","131_Spain",210,4,17,17,2,44,"2010100177","ESC_CA0111AA","ERR161329;ILLUMINA;Paired;219;ERX137179;NEW","Human","Human","Urine - Community",2010,10,NA,"","Europe","Spain","Seville","","","",NA,NA,"THE SANGER CENTER","Escherichia coli","","","","","","UTI - cystitis","UTI","PRJEB2968","ERP001354","","SAMEA1486675","ERS126646",2015-08-27,2012-08-28,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","2010100177","ERR161329;ILLUMINA;Paired;219;ERX137179;NEW","Human","Human","Urine - Community",2010,10,NA,NA,"Europe","Spain","Seville","","",NA,NA,NA,"THE SANGER CENTER","Escherichia coli",NA,"",NA,"",NA,"UTI","UTI - cystitis","PRJEB2968","ERP001354",NA,"SAMEA1486675","ERS126646",2015-08-27,2012-08-28,"ESC_CA0111AA","Assembled",71.05,229931,5054776,103,2707,2.2,"ESC_BA4120AA_AS"
"ESC_CA0112AA","131_Spain",210,4,17,17,2,44,"2010099319","ESC_CA0112AA","ERR161328;ILLUMINA;Paired;219;ERX137178;NEW","Human","Human","Urine - Healthcare associated",2010,10,NA,"","Europe","Spain","Seville","","","",NA,NA,"THE SANGER CENTER","Escherichia coli","","","","","","UTI","UTI","PRJEB2968","ERP001354","","SAMEA1486643","ERS126645",2015-08-27,2012-08-28,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","2010099319","ERR161328;ILLUMINA;Paired;219;ERX137178;NEW","Human","Human","Urine - Healthcare associated",2010,10,NA,NA,"Europe","Spain","Seville","","",NA,NA,NA,"THE SANGER CENTER","Escherichia coli",NA,"",NA,"",NA,"UTI","UTI","PRJEB2968","ERP001354",NA,"SAMEA1486643","ERS126645",2015-08-27,2012-08-28,"ESC_CA0112AA","Assembled",59.08,170539,5290324,164,4260,2.2,"ESC_CA2265AA_AS"
