Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Assembly barcode	Version
ESC_AA7807AA	BIDMC114	SRR2131825;ILLUMINA;Paired;618;SRX1118600;NEW,SRR2127790;ILLUMINA;Paired;618;SRX1118600;NEW,SRR2127307;ILLUMINA;Paired;180;SRX1118151;NEW,SRR2127337;ILLUMINA;Paired;180;SRX1118151;NEW	Human	Human	Homo sapiens	2014												Broad Institute	Escherichia coli								PRJNA271899	SRP051949		SAMN03280218	SRS1011144	2015-08-27	2015-07-25	ESC_AA7807AA	Assembled	75.6	204747	5167210	Escherichia coli / Shigella;98.55%	208	5562	ESC_CA4514AA_AS	2.2
ESC_BA0643AA	KOr006	DRR033791;ILLUMINA;Paired;0;DRX030511;NEW	Environment	Water/River	river; water					Asia	Japan							KYOTO_PREF	Escherichia coli								PRJDB3552	DRP002628		SAMD00029141	DRS019529	2015-08-27	2015-04-28	ESC_BA0643AA	Assembled	0	287089	5248235	Escherichia coli / Shigella;100.0%	130	12419	ESC_BA7324AA_AS	2.2
ESC_BA0657AA	KKa006	DRR033784;ILLUMINA;Paired;0;DRX030504;NEW	Environment	Water/River	river; water					Asia	Japan							KYOTO_PREF	Escherichia coli								PRJDB3552	DRP002628		SAMD00029134	DRS019522	2015-08-27	2015-04-28	ESC_BA0657AA	Assembled	44.18	132313	5296304	Escherichia coli / Shigella;100.0%	172	15049	ESC_CA4457AA_AS	2.2
ESC_BA0659AA	KKa005	DRR033783;ILLUMINA;Paired;0;DRX030503;NEW	Environment	Water/River	river; water					Asia	Japan							KYOTO_PREF	Escherichia coli								PRJDB3552	DRP002628		SAMD00029133	DRS019521	2015-08-27	2015-04-28	ESC_BA0659AA	Assembled	74.47	204022	5108437	Escherichia coli / Shigella;100.0%	72	5965	ESC_CA4651AA_AS	2.2
ESC_BA0667AA	KH015	DRR033779;ILLUMINA;Paired;0;DRX030499;NEW	Environment	Water/River	septic tank	2011				Asia	Japan							KYOTO_PREF	Escherichia coli								PRJDB3552	DRP002628		SAMD00029129	DRS019517	2015-08-27	2015-04-28	ESC_BA0667AA	Assembled	59.95	246790	5196806	Escherichia coli / Shigella;98.67%	83	4857	ESC_BA2313AA_AS	2.2
ESC_BA0671AA	KH013	DRR033777;ILLUMINA;Paired;0;DRX030497;NEW	Environment	Water/River	septic tank	2011				Asia	Japan							KYOTO_PREF	Escherichia coli								PRJDB3552	DRP002628		SAMD00029127	DRS019515	2015-08-27	2015-04-28	ESC_BA0671AA	Assembled	54.26	221596	5195344	Escherichia coli / Shigella;98.74%	85	7774	ESC_BA7454AA_AS	2.2
ESC_BA0678AA	KGu006	DRR033773;ILLUMINA;Paired;0;DRX030493;NEW	Environment	Water/River	river; water					Asia	Japan							KYOTO_PREF	Escherichia coli								PRJDB3552	DRP002628		SAMD00029123	DRS019511	2015-08-27	2015-04-28	ESC_BA0678AA	Assembled	73.16	178328	5124310	Escherichia coli / Shigella;100.0%	100	4457	ESC_BA2499AA_AS	2.2
ESC_BA0680AA	KGu005	DRR033772;ILLUMINA;Paired;0;DRX030492;NEW	Environment	Water/River	river; water					Asia	Japan							KYOTO_PREF	Escherichia coli								PRJDB3552	DRP002628		SAMD00029122	DRS019510	2015-08-27	2015-04-28	ESC_BA0680AA	Assembled	0	220365	5212849	Escherichia coli / Shigella;100.0%	99	6114	ESC_BA6800AA_AS	2.2
ESC_BA2365AA	228-2998	SRR1795908;ILLUMINA;Paired;611;SRX871184;NEW,SRR1799997;ILLUMINA;Paired;611;SRX871184;NEW,SRR1785704;ILLUMINA;Paired;180;SRX864564;NEW,SRR1785799;ILLUMINA;Paired;180;SRX864564;NEW	Human	Human	urine					North America	United States	Washington	King County	Seattle		47.6	-122.2	Broad Institute	Escherichia coli								PRJNA269984	SRP053140		SAMN03262746	SRS836048	2015-08-27	2015-02-10	ESC_BA2365AA	Assembled	77.91	210263	5158636	Escherichia coli / Shigella;100.0%	108	3057	ESC_CA5479AA_AS	2.2
ESC_BA2455AA	228-2945	SRR1785943;ILLUMINA;Paired;180;SRX864698;NEW,SRR1795858;ILLUMINA;Paired;829;SRX871137;NEW,SRR1785868;ILLUMINA;Paired;180;SRX864698;NEW,SRR1800018;ILLUMINA;Paired;829;SRX871137;NEW	Human	Human	urine					North America	United States	Washington	King County	Seattle		47.6	-122.2	Broad Institute	Escherichia coli								PRJNA269984	SRP053140		SAMN03262745	SRS836255	2015-08-27	2015-02-10	ESC_BA2455AA	Assembled	198	139677	5162051	Escherichia coli / Shigella;100.0%	159	4482	ESC_HA0490AA_AS	3.41
