Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode
ESC_BA9749AA	Escherichia coliVM/13/59	ERR264241;ILLUMINA;Paired;236;ERX238759;NEW	Companion Animal	Canine	Dog	2008				Europe	Spain							THE SANGER CENTER	Escherichia coli								PRJEB1252	ERP002086		SAMEA1877492	ERS193891	2015-08-27	2013-04-29	ESC_BA9749AA	Assembled	0	319752	5133501	Escherichia coli / Shigella;98.83%	95	1363	2.2	ESC_BA5420AA_AS
ESC_CA0111AA	2010100177	ERR161329;ILLUMINA;Paired;219;ERX137179;NEW	Human	Human	Urine - Community 	2010	10			Europe	Spain	Seville						THE SANGER CENTER	Escherichia coli						UTI	UTI - cystitis	PRJEB2968	ERP001354		SAMEA1486675	ERS126646	2015-08-27	2012-08-28	ESC_CA0111AA	Assembled	71.05	229931	5054776	Escherichia coli / Shigella;98.93%	103	2707	2.2	ESC_BA4120AA_AS
ESC_CA0112AA	2010099319	ERR161328;ILLUMINA;Paired;219;ERX137178;NEW	Human	Human	Urine - Healthcare associated	2010	10			Europe	Spain	Seville						THE SANGER CENTER	Escherichia coli						UTI	UTI	PRJEB2968	ERP001354		SAMEA1486643	ERS126645	2015-08-27	2012-08-28	ESC_CA0112AA	Assembled	59.08	170539	5290324	Escherichia coli / Shigella;98.71%	164	4260	2.2	ESC_CA2265AA_AS
ESC_CA0114AA	761034	ERR161326;ILLUMINA;Paired;219;ERX137176;NEW	Human	Human	Blood - Community	2010	7			Europe	Spain	Seville						THE SANGER CENTER	Escherichia coli						UTI	UTI	PRJEB2968	ERP001354		SAMEA1486583	ERS126643	2015-08-27	2012-08-28	ESC_CA0114AA	Assembled	75.65	222992	5013873	Escherichia coli / Shigella;100.0%	97	2563	2.2	ESC_CA4395AA_AS
ESC_CA0115AA	2010078422	ERR161325;ILLUMINA;Paired;219;ERX137175;NEW	Human	Human	Urine - Community	2010	7			Europe	Spain	Seville						THE SANGER CENTER	Escherichia coli						UTI	UTI - cystitis	PRJEB2968	ERP001354		SAMEA1486663	ERS126642	2015-08-27	2012-08-28	ESC_CA0115AA	Assembled	70.09	277934	5212078	Escherichia coli / Shigella;97.69%	147	3329	2.2	ESC_BA2034AA_AS
ESC_CA0117AA	2010077749	ERR161323;ILLUMINA;Paired;219;ERX137173;NEW	Human	Human	Blood - Nosocomial 	2010	6			Europe	Spain	Seville						THE SANGER CENTER	Escherichia coli						UTI	UTI - pyelonephritis	PRJEB2968	ERP001354		SAMEA1486626	ERS126640	2015-08-27	2012-08-28	ESC_CA0117AA	Assembled	0	331943	5212360	Escherichia coli / Shigella;97.47%	140	3427	2.2	ESC_BA7509AA_AS
ESC_CA0118AA	2010081517	ERR161322;ILLUMINA;Paired;219;ERX137172;NEW	Human	Human	Urine - Community	2010	6			Europe	Spain	Seville						THE SANGER CENTER	Escherichia coli						UTI	UTI	PRJEB2968	ERP001354		SAMEA1486586	ERS126639	2015-08-27	2012-08-28	ESC_CA0118AA	Assembled	0	169233	5222520	Escherichia coli / Shigella;97.66%	187	4909	2.2	ESC_CA2153AA_AS
ESC_CA0119AA	2010073619	ERR161321;ILLUMINA;Paired;219;ERX137171;NEW	Human	Human	Surgical Wound - Nosocomial 	2010	6			Europe	Spain	Seville						THE SANGER CENTER	Escherichia coli						Wound infection	Surgical wound infection	PRJEB2968	ERP001354		SAMEA1486603	ERS126638	2015-08-27	2012-08-28	ESC_CA0119AA	Assembled	62.04	203036	5248188	Escherichia coli / Shigella;100.0%	163	4241	2.2	ESC_CA4929AA_AS
ESC_CA0120AA	2010070931	ERR161320;ILLUMINA;Paired;219;ERX137170;NEW	Human	Human	Abdominal abscess - Nosocomial 	2010	6			Europe	Spain	Seville						THE SANGER CENTER	Escherichia coli							Abdominal abscess	PRJEB2968	ERP001354		SAMEA1486617	ERS126637	2015-08-27	2012-08-28	ESC_CA0120AA	Assembled	58.69	183597	5301425	Escherichia coli / Shigella;99.39%	178	4850	2.2	ESC_BA0468AA_AS
ESC_CA0122AA	2010066864	ERR161318;ILLUMINA;Paired;219;ERX137168;NEW	Human	Human	Peritoneal fluid - Nosocomial 	2010	5			Europe	Spain	Seville						THE SANGER CENTER	Escherichia coli							Abdominal abscess	PRJEB2968	ERP001354		SAMEA1486670	ERS126635	2015-08-27	2012-08-28	ESC_CA0122AA	Assembled	70.31	276076	5132217	Escherichia coli / Shigella;100.0%	101	2671	2.2	ESC_BA5444AA_AS
ESC_CA0123AA	2010039553	ERR161317;ILLUMINA;Paired;219;ERX137167;NEW	Human	Human	Urine - Community	2010	2			Europe	Spain	Seville						THE SANGER CENTER	Escherichia coli						UTI	UTI	PRJEB2968	ERP001354		SAMEA1486607	ERS126634	2015-08-27	2012-08-28	ESC_CA0123AA	Assembled	0	191185	5446932	Escherichia coli / Shigella;96.18%	231	5692	2.2	ESC_CA1939AA_AS
ESC_CA0124AA	2010039024	ERR161316;ILLUMINA;Paired;219;ERX137166;NEW	Human	Human	Blood - Nosocomial 	2010	2			Europe	Spain	Seville						THE SANGER CENTER	Escherichia coli						Septicemia	BTI - acute cholangitis 	PRJEB2968	ERP001354		SAMEA1486589	ERS126633	2015-08-27	2012-08-28	ESC_CA0124AA	Assembled	71.62	194287	5109033	Escherichia coli / Shigella;100.0%	139	3063	2.2	ESC_BA1463AA_AS
