"Uberstrain","ST_Country","N_human_e.coli_shigella","N_bovine_e.coli_shigella","N_swine_e.coli_shigella","N_poultry_e.coli_shigella","N_dog_e.coli_shigella","N_water_e.coli_shigella","Name.x","Barcode.x","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).x","Source Niche.x","Source Type.x","Source Details.x","Collection Year.x","Collection Month.x","Collection Day.x","Collection Time.x","Continent.x","Country.x","Region.x","District.x","City.x","Post Code.x","Latitude.x","Longitude.x","Lab Contact.x","Species.x","Serological Group.x","Serotype.x","EcoR Cluster.x","Path/Nonpath.x","Simple Patho.x","Comment.x","Simple Disease.x","Bio Project ID.x","Project ID.x","Disease.x","Sample ID.x","Secondary Sample ID.x","Date Entered.x","Release Date.x","Differences","ST","ST Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA","is_common_ST","is_common_country","is_bovine","is_swine","is_poultry","is_human","is_human2","is_dog","is_water","is_concerned_host","Name.y","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).y","Source Niche.y","Source Type.y","Source Details.y","Collection Year.y","Collection Month.y","Collection Day.y","Collection Time.y","Continent.y","Country.y","Region.y","District.y","City.y","Post Code.y","Latitude.y","Longitude.y","Lab Contact.y","Species.y","Serological Group.y","Serotype.y","EcoR Cluster.y","Path/Nonpath.y","Simple Patho.y","Simple Disease.y","Comment.y","Bio Project ID.y","Project ID.y","Disease.y","Sample ID.y","Secondary Sample ID.y","Date Entered.y","Release Date.y","Barcode.y","Status","Coverage","N50","Length","Contig Number(>=200 bp)","Low Quality Bases","Version","Assembly barcode"
"ESC_CB0204AA","10_Australia",114,0,46,6,6,19,"AUSMDU00009732","ESC_CB0204AA","SRR21883699;ILLUMINA;Paired;;SRX17870708;SRA","Human","Human","Homo sapiens",2017,NA,NA,"","Oceania","Australia","Victoria","","","",NA,NA,"Microbiological Diagnostic Unit Public Health Laboratory","Escherichia coli","","O157:H7","","","","","","PRJNA857526","SRP390960","","SAMN31262658","SRS15388945",2022-10-19,2022-10-18,NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","AUSMDU00009732","SRR21883699;ILLUMINA;Paired;;SRX17870708;SRA","Human","Human","Homo sapiens",2017,NA,NA,NA,"Oceania","Australia","Victoria","","",NA,NA,NA,"Microbiological Diagnostic Unit Public Health Laboratory","Escherichia coli",NA,"O157:H7",NA,NA,"",NA,NA,"PRJNA857526","SRP390960",NA,"SAMN31262658","SRS15388945",2022-10-19,2022-10-18,"ESC_CB0204AA","Assembled",117,114060,5200002,181,122068,4.1,"ESC_GC1967AA_AS"
"ESC_DA3330AA","10_Australia",114,0,46,6,6,19,"8_2_TI16","ESC_DA3330AA","traces-0NnrjdC;ILLUMINA;Paired;;NA;Uploaded","Human","Human","Biopsy",NA,NA,NA,"","Oceania","Australia","Australian Capital Territory","","Canberra","",NA,NA,"David Gordon","Escherichia coli","","","","","","","","","","","","",2016-06-21,2017-06-28,NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","8_2_TI16","traces-0NnrjdC;ILLUMINA;Paired;;NA;Uploaded","Human","Human","Biopsy",NA,NA,NA,NA,"Oceania","Australia","Australian Capital Territory","","Canberra",NA,NA,NA,"David Gordon","Escherichia coli",NA,"",NA,NA,"",NA,NA,"","",NA,"","",2016-06-21,2017-06-28,"ESC_DA3330AA","Assembled",37,33581,5221059,387,40031,3.41,"ESC_HA0296AA_AS"
"ESC_DA3422AA","10_Australia",114,0,46,6,6,19,"8_5_Ti14","ESC_DA3422AA","traces-0DWNZok;ILLUMINA;Paired;;NA;Uploaded","Human","Human","Biopsy",NA,NA,NA,"","Oceania","Australia","Australian Capital Territory","","Canberra","",NA,NA,"David Gordon","Escherichia coli","","","","","","","","","","","","",2016-06-27,2017-07-04,NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","8_5_Ti14","traces-0DWNZok;ILLUMINA;Paired;;NA;Uploaded","Human","Human","Biopsy",NA,NA,NA,NA,"Oceania","Australia","Australian Capital Territory","","Canberra",NA,NA,NA,"David Gordon","Escherichia coli",NA,"",NA,NA,"",NA,NA,"","",NA,"","",2016-06-27,2017-07-04,"ESC_DA3422AA","Assembled",39,38955,5230906,336,36257,3.41,"ESC_HA0770AA_AS"
"ESC_EA4704AA","10_Australia",114,0,46,6,6,19,"1.4-R4","ESC_EA4704AA","SRR4067494;ILLUMINA;Paired;;SRX2054698;SRA","Human","Human","Homo sapiens; feces",2008,NA,NA,"","Oceania","Australia","New South Wales","","Sydney","",NA,NA,"University of Melbourne","Escherichia coli","","","","","","","","PRJNA335932","SRP082992","","SAMN05567330","SRS1646770",2016-09-02,2016-09-01,NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","1.4-R4","SRR4067494;ILLUMINA;Paired;;SRX2054698;SRA","Human","Human","Homo sapiens; feces",2008,NA,NA,NA,"Oceania","Australia","New South Wales","","Sydney",NA,NA,NA,"University of Melbourne","Escherichia coli",NA,"",NA,NA,"",NA,NA,"PRJNA335932","SRP082992",NA,"SAMN05567330","SRS1646770",2016-09-02,2016-09-01,"ESC_EA4704AA","Assembled",90,70000,5146552,235,3997,3.51,"ESC_IA0803AA_AS"
"ESC_EA4705AA","10_Australia",114,0,46,6,6,19,"21.1-R1","ESC_EA4705AA","SRR4067493;ILLUMINA;Paired;;SRX2054697;SRA","Human","Human","Homo sapiens; feces",2010,NA,NA,"","Oceania","Australia","New South Wales","","Sydney","",NA,NA,"University of Melbourne","Escherichia coli","","","","","","","","PRJNA335932","SRP082992","","SAMN05567329","SRS1646769",2016-09-02,2016-09-01,NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","21.1-R1","SRR4067493;ILLUMINA;Paired;;SRX2054697;SRA","Human","Human","Homo sapiens; feces",2010,NA,NA,NA,"Oceania","Australia","New South Wales","","Sydney",NA,NA,NA,"University of Melbourne","Escherichia coli",NA,"",NA,NA,"",NA,NA,"PRJNA335932","SRP082992",NA,"SAMN05567329","SRS1646769",2016-09-02,2016-09-01,"ESC_EA4705AA","Assembled",132,103207,5244395,195,2949,3.51,"ESC_IA0802AA_AS"
"ESC_EA4709AA","10_Australia",114,0,46,6,6,19,"15.1-R1","ESC_EA4709AA","SRR4067489;ILLUMINA;Paired;;SRX2054693;SRA","Human","Human","Homo sapiens; feces",2009,NA,NA,"","Oceania","Australia","New South Wales","","Sydney","",NA,NA,"University of Melbourne","Escherichia coli","","","","","","","","PRJNA335932","SRP082992","","SAMN05567331","SRS1646765",2016-09-02,2016-09-01,NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","15.1-R1","SRR4067489;ILLUMINA;Paired;;SRX2054693;SRA","Human","Human","Homo sapiens; feces",2009,NA,NA,NA,"Oceania","Australia","New South Wales","","Sydney",NA,NA,NA,"University of Melbourne","Escherichia coli",NA,"",NA,NA,"",NA,NA,"PRJNA335932","SRP082992",NA,"SAMN05567331","SRS1646765",2016-09-02,2016-09-01,"ESC_EA4709AA","Assembled",115,81180,5030640,211,7401,3.51,"ESC_IA0798AA_AS"
"ESC_EA4717AA","10_Australia",114,0,46,6,6,19,"2.2-R2","ESC_EA4717AA","SRR4067481;ILLUMINA;Paired;;SRX2054685;SRA","Human","Human","Homo sapiens; feces",2008,NA,NA,"","Oceania","Australia","New South Wales","","Sydney","",NA,NA,"University of Melbourne","Escherichia coli","","","","","","","","PRJNA335932","SRP082992","","SAMN05567326","SRS1646757",2016-09-02,2016-09-01,NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","2.2-R2","SRR4067481;ILLUMINA;Paired;;SRX2054685;SRA","Human","Human","Homo sapiens; feces",2008,NA,NA,NA,"Oceania","Australia","New South Wales","","Sydney",NA,NA,NA,"University of Melbourne","Escherichia coli",NA,"",NA,NA,"",NA,NA,"PRJNA335932","SRP082992",NA,"SAMN05567326","SRS1646757",2016-09-02,2016-09-01,"ESC_EA4717AA","Assembled",122,76045,5121854,239,3191,3.51,"ESC_IA0790AA_AS"
"ESC_EA4731AA","10_Australia",114,0,46,6,6,19,"1-R1","ESC_EA4731AA","SRR4067467;ILLUMINA;Paired;;SRX2054671;SRA","Human","Human","Homo sapiens; feces",2008,NA,NA,"","Oceania","Australia","New South Wales","","Sydney","",NA,NA,"University of Melbourne","Escherichia coli","","","","","","","","PRJNA335932","SRP082992","","SAMN05567325","SRS1646748",2016-09-02,2016-09-01,NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","1-R1","SRR4067467;ILLUMINA;Paired;;SRX2054671;SRA","Human","Human","Homo sapiens; feces",2008,NA,NA,NA,"Oceania","Australia","New South Wales","","Sydney",NA,NA,NA,"University of Melbourne","Escherichia coli",NA,"",NA,NA,"",NA,NA,"PRJNA335932","SRP082992",NA,"SAMN05567325","SRS1646748",2016-09-02,2016-09-01,"ESC_EA4731AA","Assembled",136,63273,5176339,237,2128,3.51,"ESC_IA0776AA_AS"
"ESC_EA4734AA","10_Australia",114,0,46,6,6,19,"24-R3","ESC_EA4734AA","SRR4067432;ILLUMINA;Paired;;SRX2054664;SRA","Human","Human","Homo sapiens; feces",2013,NA,NA,"","Oceania","Australia","New South Wales","","Sydney","",NA,NA,"University of Melbourne","Escherichia coli","","","","","","","","PRJNA335932","SRP082992","","SAMN05567336","SRS1646737",2016-09-02,2016-09-01,NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","24-R3","SRR4067432;ILLUMINA;Paired;;SRX2054664;SRA","Human","Human","Homo sapiens; feces",2013,NA,NA,NA,"Oceania","Australia","New South Wales","","Sydney",NA,NA,NA,"University of Melbourne","Escherichia coli",NA,"",NA,NA,"",NA,NA,"PRJNA335932","SRP082992",NA,"SAMN05567336","SRS1646737",2016-09-02,2016-09-01,"ESC_EA4734AA","Assembled",110,81224,5010644,186,2455,3.51,"ESC_IA0773AA_AS"
"ESC_FA4704AA","10_Australia",114,0,46,6,6,19,"E2065_23","ESC_FA4704AA","SRR5075712;ILLUMINA;Paired;;SRX2394655;SRA","Environment","Water/River","Tap Water",NA,NA,NA,"","Oceania","Australia","Australian Capital Territory","","Canberra","",NA,NA,"Australian National University","Escherichia coli","","","","","","","","PRJNA356186","SRP094538","","SAMN06109020","SRS1835999",2016-12-06,2016-12-06,NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","E2065_23","SRR5075712;ILLUMINA;Paired;;SRX2394655;SRA","Environment","Water/River","Tap Water",NA,NA,NA,NA,"Oceania","Australia","Australian Capital Territory","","Canberra",NA,NA,NA,"Australian National University","Escherichia coli",NA,"",NA,NA,"",NA,NA,"PRJNA356186","SRP094538",NA,"SAMN06109020","SRS1835999",2016-12-06,2016-12-06,"ESC_FA4704AA","Assembled",63,103521,4681948,128,14679,3.51,"ESC_KA6959AA_AS"
