"Uberstrain","ST_Country","N_human_e.coli_shigella","N_bovine_e.coli_shigella","N_swine_e.coli_shigella","N_poultry_e.coli_shigella","N_dog_e.coli_shigella","N_water_e.coli_shigella","Name.x","Barcode.x","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).x","Source Niche.x","Source Type.x","Source Details.x","Collection Year.x","Collection Month.x","Collection Day.x","Collection Time.x","Continent.x","Country.x","Region.x","District.x","City.x","Post Code.x","Latitude.x","Longitude.x","Lab Contact.x","Species.x","Serological Group.x","Serotype.x","EcoR Cluster.x","Path/Nonpath.x","Simple Patho.x","Comment.x","Simple Disease.x","Bio Project ID.x","Project ID.x","Disease.x","Sample ID.x","Secondary Sample ID.x","Date Entered.x","Release Date.x","Differences","ST","ST Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA","is_common_ST","is_common_country","is_bovine","is_swine","is_poultry","is_human","is_human2","is_dog","is_water","is_concerned_host","Name.y","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status).y","Source Niche.y","Source Type.y","Source Details.y","Collection Year.y","Collection Month.y","Collection Day.y","Collection Time.y","Continent.y","Country.y","Region.y","District.y","City.y","Post Code.y","Latitude.y","Longitude.y","Lab Contact.y","Species.y","Serological Group.y","Serotype.y","EcoR Cluster.y","Path/Nonpath.y","Simple Patho.y","Simple Disease.y","Comment.y","Bio Project ID.y","Project ID.y","Disease.y","Sample ID.y","Secondary Sample ID.y","Date Entered.y","Release Date.y","Barcode.y","Status","Coverage","N50","Length","Contig Number(>=200 bp)","Low Quality Bases","Version","Assembly barcode"
"ESC_AA7802AA","131_United States",2591,1,36,237,112,25,"BWH55","ESC_AA7802AA","SRR2127875;ILLUMINA;Paired;644;SRX1118677;NEW,SRR2132027;ILLUMINA;Paired;644;SRX1118677;NEW,SRR2127531;ILLUMINA;Paired;180;SRX1118298;NEW,SRR2131441;ILLUMINA;Paired;180;SRX1118298;NEW","Human","Human","Homo sapiens",2014,NA,NA,"","North America","United States","","","","",NA,NA,"Broad Institute","Escherichia coli","","","","","","","","PRJNA271899","SRP051949","","SAMN03280198","SRS1011285",2015-08-27,2015-07-25,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","BWH55","SRR2127875;ILLUMINA;Paired;644;SRX1118677;NEW,SRR2127531;ILLUMINA;Paired;180;SRX1118298;NEW,SRR2131441;ILLUMINA;Paired;180;SRX1118298;NEW,SRR2132027;ILLUMINA;Paired;644;SRX1118677;NEW","Human","Human","Homo sapiens",2014,NA,NA,NA,"North America","United States","","","",NA,NA,NA,"Broad Institute","Escherichia coli",NA,"",NA,"","","","","PRJNA271899","SRP051949","","SAMN03280198","SRS1011285",2015-08-27,2015-07-25,"ESC_AA7802AA","Assembled",0,191589,5281189,231,3282,2.2,"ESC_BA8492AA_AS"
"ESC_AA7816AA","131_United States",2591,1,36,237,112,25,"BWH61","ESC_AA7816AA","SRR2127375;ILLUMINA;Paired;680;SRX1118215;NEW,SRR2131488;ILLUMINA;Paired;680;SRX1118215;NEW,SRR2135119;ILLUMINA;Paired;180;SRX1118373;NEW,SRR2127544;ILLUMINA;Paired;180;SRX1118373;NEW","Human","Human","Homo sapiens",2014,NA,NA,"","North America","United States","","","","",NA,NA,"Broad Institute","Escherichia coli","","","","","","","","PRJNA271899","SRP051949","","SAMN03280202","SRS1011200",2015-08-27,2015-07-25,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","BWH61","SRR2131488;ILLUMINA;Paired;680;SRX1118215;NEW,SRR2135119;ILLUMINA;Paired;180;SRX1118373;NEW,SRR2127544;ILLUMINA;Paired;180;SRX1118373;NEW,SRR2127375;ILLUMINA;Paired;680;SRX1118215;NEW","Human","Human","Homo sapiens",2014,NA,NA,NA,"North America","United States","","","",NA,NA,NA,"Broad Institute","Escherichia coli",NA,"",NA,"","","","","PRJNA271899","SRP051949","","SAMN03280202","SRS1011200",2015-08-27,2015-07-25,"ESC_AA7816AA","Assembled",93.43,276121,5212493,250,3023,2.2,"ESC_BA9092AA_AS"
"ESC_AA7818AA","131_United States",2591,1,36,237,112,25,"BWH60","ESC_AA7818AA","SRR2135154;ILLUMINA;Paired;594;SRX1118133;NEW,SRR2127286;ILLUMINA;Paired;594;SRX1118133;NEW,SRR2127469;ILLUMINA;Paired;180;SRX1118310;NEW,SRR2127494;ILLUMINA;Paired;180;SRX1118310;NEW","Human","Human","Homo sapiens",2014,NA,NA,"","North America","United States","","","","",NA,NA,"Broad Institute","Escherichia coli","","","","","","","","PRJNA271899","SRP051949","","SAMN03280201","SRS1011131",2015-08-27,2015-07-25,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","BWH60","SRR2127286;ILLUMINA;Paired;594;SRX1118133;NEW,SRR2127469;ILLUMINA;Paired;180;SRX1118310;NEW,SRR2127494;ILLUMINA;Paired;180;SRX1118310;NEW,SRR2135154;ILLUMINA;Paired;594;SRX1118133;NEW","Human","Human","Homo sapiens",2014,NA,NA,NA,"North America","United States","","","",NA,NA,NA,"Broad Institute","Escherichia coli",NA,"",NA,"","","","","PRJNA271899","SRP051949","","SAMN03280201","SRS1011131",2015-08-27,2015-07-25,"ESC_AA7818AA","Assembled",96.42,174093,5234695,256,3348,2.2,"ESC_CA6110AA_AS"
"ESC_AA8168AA","131_United States",2591,1,36,237,112,25,"60_SBOY","ESC_AA8168AA","SRR1656032;ILLUMINA;Paired;;SRX762498;NEW","Human","Human","Homo sapiens",NA,NA,NA,"","North America","United States","Washington","","","",NA,NA,"UNIVERSITY OF WASHINGTON","Escherichia coli","","","","","","","","PRJNA267549","SRP049998","","SAMN03197800","SRS747008",2015-08-27,2015-07-07,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","60_SBOY","SRR1656032;ILLUMINA;Paired;;SRX762498;NEW","Human","Human","Homo sapiens",NA,NA,NA,NA,"North America","United States","Washington","","",NA,NA,NA,"UNIVERSITY OF WASHINGTON","Escherichia coli",NA,"",NA,"","","","","PRJNA267549","SRP049998","","SAMN03197800","SRS747008",2015-08-27,2015-07-07,"ESC_AA8168AA","Assembled",0,169123,5126404,132,4850,2.2,"ESC_BA5167AA_AS"
"ESC_AA8171AA","131_United States",2591,1,36,237,112,25,"534_SBOY","ESC_AA8171AA","SRR1655962;ILLUMINA;Paired;;SRX762428;NEW","Human","Human","Homo sapiens",NA,NA,NA,"","North America","United States","Washington","","","",NA,NA,"UNIVERSITY OF WASHINGTON","Escherichia coli","","","","","","","","PRJNA267549","SRP049998","","SAMN03197730","SRS746938",2015-08-27,2015-07-07,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","534_SBOY","SRR1655962;ILLUMINA;Paired;;SRX762428;NEW","Human","Human","Homo sapiens",NA,NA,NA,NA,"North America","United States","Washington","","",NA,NA,NA,"UNIVERSITY OF WASHINGTON","Escherichia coli",NA,"",NA,"","","","","PRJNA267549","SRP049998","","SAMN03197730","SRS746938",2015-08-27,2015-07-07,"ESC_AA8171AA","Assembled",37.51,158933,5122204,166,5382,2.2,"ESC_CA1010AA_AS"
"ESC_AA8177AA","131_United States",2591,1,36,237,112,25,"482_SBOY","ESC_AA8177AA","SRR1655907;ILLUMINA;Paired;;SRX762373;NEW","Human","Human","Homo sapiens",NA,NA,NA,"","North America","United States","Washington","","","",NA,NA,"UNIVERSITY OF WASHINGTON","Escherichia coli","","","","","","","","PRJNA267549","SRP049998","","SAMN03197675","SRS746882",2015-08-27,2015-07-07,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","482_SBOY","SRR1655907;ILLUMINA;Paired;;SRX762373;NEW","Human","Human","Homo sapiens",NA,NA,NA,NA,"North America","United States","Washington","","",NA,NA,NA,"UNIVERSITY OF WASHINGTON","Escherichia coli",NA,"",NA,"","","","","PRJNA267549","SRP049998","","SAMN03197675","SRS746882",2015-08-27,2015-07-07,"ESC_AA8177AA","Assembled",34.97,169559,5073111,139,5250,2.2,"ESC_BA1854AA_AS"
"ESC_AA8181AA","131_United States",2591,1,36,237,112,25,"426_SBOY","ESC_AA8181AA","SRR1655851;ILLUMINA;Paired;;SRX762317;NEW","Human","Human","Homo sapiens",NA,NA,NA,"","North America","United States","Washington","","","",NA,NA,"UNIVERSITY OF WASHINGTON","Escherichia coli","","","","","","","","PRJNA267549","SRP049998","","SAMN03197619","SRS746827",2015-08-27,2015-07-07,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","426_SBOY","SRR1655851;ILLUMINA;Paired;;SRX762317;NEW","Human","Human","Homo sapiens",NA,NA,NA,NA,"North America","United States","Washington","","",NA,NA,NA,"UNIVERSITY OF WASHINGTON","Escherichia coli",NA,"",NA,"","","","","PRJNA267549","SRP049998","","SAMN03197619","SRS746827",2015-08-27,2015-07-07,"ESC_AA8181AA","Assembled",29.09,173879,5090770,87,3325,2.2,"ESC_CA6731AA_AS"
"ESC_AA8184AA","131_United States",2591,1,36,237,112,25,"425_SBOY","ESC_AA8184AA","SRR1655850;ILLUMINA;Paired;;SRX762316;NEW","Human","Human","Homo sapiens",NA,NA,NA,"","North America","United States","Washington","","","",NA,NA,"UNIVERSITY OF WASHINGTON","Escherichia coli","","","","","","","","PRJNA267549","SRP049998","","SAMN03197618","SRS746826",2015-08-27,2015-07-07,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","425_SBOY","SRR1655850;ILLUMINA;Paired;;SRX762316;NEW","Human","Human","Homo sapiens",NA,NA,NA,NA,"North America","United States","Washington","","",NA,NA,NA,"UNIVERSITY OF WASHINGTON","Escherichia coli",NA,"",NA,"","","","","PRJNA267549","SRP049998","","SAMN03197618","SRS746826",2015-08-27,2015-07-07,"ESC_AA8184AA","Assembled",37.55,186658,5097171,91,3395,2.2,"ESC_BA4435AA_AS"
"ESC_AA8198AA","131_United States",2591,1,36,237,112,25,"1235_SBOY","ESC_AA8198AA","SRR1655432;ILLUMINA;Paired;;SRX761898;NEW","Human","Human","Homo sapiens",NA,NA,NA,"","North America","United States","Washington","","","",NA,NA,"UNIVERSITY OF WASHINGTON","Escherichia coli","","","","","","ShigTyper Wu et al., 2019 AEM 85: e00165-19","","PRJNA267549","SRP049998","","SAMN03197200","SRS746407",2015-08-27,2015-07-07,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","1235_SBOY","SRR1655432;ILLUMINA;Paired;;SRX761898;NEW","Human","Human","Homo sapiens",NA,NA,NA,NA,"North America","United States","Washington","","",NA,NA,NA,"UNIVERSITY OF WASHINGTON","Escherichia coli",NA,"",NA,"","","","ShigTyper Wu et al., 2019 AEM 85: e00165-19","PRJNA267549","SRP049998","","SAMN03197200","SRS746407",2015-08-27,2015-07-07,"ESC_AA8198AA","Assembled",25.55,183377,5148500,154,7969,2.2,"ESC_AA7744AA_AS"
"ESC_AB0523AA","131_United States",2591,1,36,237,112,25,"CVM N20EC1966","ESC_AB0523AA","SRR17682540;ILLUMINA;Paired;;SRX13845735;SRA","Poultry","Poultry","ground turkey",2020,8,NA,"","North America","United States","Ohio","","","",NA,NA,"National Antimicrobial Resistance Monitoring System","Escherichia coli","","","","","","","","PRJNA292663","SRP161673","","SAMN25143743","SRS11722851",2022-06-11,2022-01-20,NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"yes","CVM N20EC1966","SRR17682540;ILLUMINA;Paired;;SRX13845735;SRA","Poultry","Poultry","ground turkey",2020,8,NA,NA,"North America","United States","Ohio","","",NA,NA,NA,"National Antimicrobial Resistance Monitoring System","Escherichia coli",NA,"",NA,"","","","","PRJNA292663","SRP161673","","SAMN25143743","SRS11722851",2022-06-11,2022-01-20,"ESC_AB0523AA","Assembled",53,236332,5106201,77,20077,4.1,"ESC_DC8790AA_AS"
